# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-08-24T00:23:01
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
47326,1000,73,-62,4,-13,14
47327,1014,53,-24,-8,-2,17
47328,1015,67,-31,-19,-11,13
47329,1015,66,-53,-25,-18,11
47330,1011,67,-66,-30,-13,9
47331,1016,73,-65,-36,-7,9
47332,1021,70,-60,-44,-2,11
47333,1022,87,-63,-50,4,18
47334,1030,81,-54,-58,15,28
47335,1022,70,-40,-59,19,37
47336,1016,68,-39,-59,16,42
47337,1017,71,-61,-56,18,46
47338,1009,74,-66,-61,30,51
47339,1012,62,-35,-67,39,53
47340,998,55,-12,-70,35,49
47341,994,60,-7,-63,24,42
47342,1004,61,-5,-51,14,35
47343,1004,81,-15,-40,2,33
47344,1003,101,-20,-41,-4,38
47345,1013,95,-18,-56,-4,53
47346,1012,93,-23,-59,-7,66
47347,1015,96,-12,-64,-11,79
47348,1020,80,-23,-71,-18,92
47349,1015,75,-20,-74,-21,98
47350,1005,68,-31,-67,-20,96
47351,1011,57,-18,-55,-20,93
47352,1009,55,-21,-46,-29,83
47353,1009,48,-43,-39,-39,71
47354,1016,66,-59,-35,-35,62
47355,1019,75,-50,-28,-28,60
47356,1019,74,-56,-28,-22,62
47357,1022,77,-56,-32,-18,70
47358,1032,75,-60,-44,-14,79
47359,1023,64,-63,-55,-6,86
47360,1011,60,-52,-53,4,86
47361,1019,74,-34,-56,10,89
47362,1011,84,-27,-63,8,95
47363,1012,70,-15,-63,4,102
47364,1008,54,-3,-58,-1,105
47365,1013,41,7,-54,-16,101
47366,1005,39,-13,-52,-30,95
47367,1001,39,-17,-46,-33,86
47368,1010,27,-8,-33,-37,73
47369,1016,34,-5,-26,-48,59
47370,1004,49,-32,-30,-58,48
47371,1000,38,-40,-29,-56,41
47372,1010,46,-18,-18,-56,31
47373,1008,60,-8,-13,-63,23
47374,1011,75,-19,-18,-75,24
47375,1016,70,-36,-23,-81,26
47376,1016,80,-49,-26,-81,29
47377,1010,89,-53,-31,-76,37
47378,1019,85,-28,-37,-70,46
47379,1012,80,-19,-46,-75,54
47380,1005,75,-30,-52,-82,59
47381,1003,64,-27,-56,-86,60
47382,1006,63,-21,-53,-89,57
47383,1011,65,-45,-49,-98,55
47384,1020,73,-67,-47,-95,59
47385,1019,80,-66,-41,-83,67
47386,1021,88,-58,-37,-74,83
47387,1027,-22,-83,-35,-65,93
47388,1010,32,-46,14,-54,81
47389,1037,0,-24,9,-58,81
47390,1015,-33,-76,4,-65,63
47391,1025,-25,-104,18,-55,27
47392,1029,9,-90,30,-36,-2
47393,1020,49,-73,34,-21,-11
47394,1022,65,-58,30,-9,-7
47395,1025,62,-44,23,-7,3
47396,1015,44,-58,19,-5,12
47397,1005,28,-42,23,0,14
47398,1010,30,-24,28,2,9
47399,1003,36,-28,28,-4,5
47400,1013,35,-15,25,-12,3
47401,1013,38,-25,23,-18,1
47402,1014,40,-34,22,-21,-2
47403,1008,52,-37,21,-20,-2
47404,1003,51,-31,14,-20,0
47405,1010,46,-27,14,-26,0
47406,1011,63,-43,16,-30,1
47407,1022,64,-47,14,-28,9
47408,1021,66,-46,10,-26,18
47409,1014,66,-55,1,-23,26
47410,1022,58,-51,-3,-18,32
47411,1022,45,-48,0,-16,34
47412,1016,40,-47,2,-16,31
47413,1017,50,-53,-1,-15,29
47414,1024,58,-63,-7,-10,31
47415,1021,59,-53,-10,-8,32
47416,1018,66,-52,-14,-4,35
47417,1010,56,-33,-16,-2,39
47418,1010,54,-32,-14,-4,38
47419,1013,60,-34,-12,-10,38
47420,1009,60,-47,-11,-11,42
47421,1011,52,-38,-9,-14,40
47422,1015,46,-38,-6,-18,35
47423,1014,46,-61,-4,-16,30
47424,1016,41,-42,-3,-15,26
47425,1010,64,-39,0,-18,23
47426,1012,75,-39,1,-23,25
47427,1014,70,-45,0,-25,32
47428,1013,68,-47,0,-24,37
47429,1020,62,-43,-4,-25,45
47430,1006,47,-38,-9,-24,47
47431,1010,38,-40,-4,-26,42
47432,1020,51,-41,4,-29,37
47433,1016,49,-55,7,-28,35
47434,1021,52,-53,3,-25,34
47435,1023,52,-55,0,-23,33
47436,1020,59,-66,0,-17,37
47437,1023,59,-51,-2,-9,44
47438,1020,58,-43,-5,-9,49
47439,1015,58,-51,-11,-10,54
47440,1017,41,-56,-13,-8,58
47441,1013,34,-43,-9,-4,54
47442,1007,38,-26,-7,-5,47
47443,1011,37,-25,-12,-12,44
47444,1007,39,-37,-15,-20,43
47445,1009,43,-49,-11,-21,41
47446,1014,51,-50,-14,-20,43
47447,1011,42,-41,-22,-19,45
47448,1008,35,-43,-21,-21,41
47449,1007,44,-43,-16,-19,35
47450,1008,58,-35,-14,-18,31
47451,1016,59,-25,-16,-22,34
47452,1014,59,-45,-14,-27,39
47453,1017,54,-60,-11,-23,44
47454,1019,45,-56,-10,-18,47
47455,1019,43,-48,-16,-18,48
47456,1020,34,-57,-21,-15,46
47457,1019,38,-56,-20,-14,42
47458,1017,42,-47,-16,-9,37
47459,1015,56,-45,-15,-9,39
47460,1023,48,-42,-16,-10,45
47461,1009,33,-45,-9,-13,44
47462,1002,40,-44,-1,-11,41
47463,1012,38,-31,6,-9,39
47464,1019,38,-26,5,-16,39
47465,1016,40,-48,2,-24,36
47466,1016,36,-66,2,-20,37
47467,1016,35,-42,6,-11,34
47468,1019,42,-29,8,-10,29
47469,1013,51,-35,2,-17,31
47470,1009,37,-54,-3,-19,35
47471,1016,31,-60,0,-16,32
47472,1017,41,-54,1,-7,29
47473,1013,44,-30,-4,-3,30
47474,1011,50,-19,-9,-8,30
47475,1011,58,-32,-2,-17,32
47476,1013,59,-26,2,-20,35
47477,1019,48,-29,1,-23,37
47478,1008,39,-49,-4,-25,37
