# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:24
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
65915,245,7,983,1,-29,18
65916,246,3,987,3,-22,18
65917,237,9,987,7,-12,19
65918,244,7,996,7,-11,18
65919,240,11,994,5,-17,18
65920,241,9,993,2,-25,18
65921,246,10,991,2,-28,20
65922,245,9,982,3,-25,19
65923,243,4,990,5,-19,18
65924,243,9,990,7,-14,18
65925,237,7,985,6,-17,18
65926,240,3,990,4,-20,18
65927,245,6,988,4,-23,18
65928,243,6,987,4,-21,17
65929,239,5,985,4,-18,17
65930,240,9,989,4,-16,17
65931,238,7,994,4,-18,18
65932,243,7,989,3,-23,18
65933,239,8,991,2,-29,20
65934,241,1,981,1,-31,19
65935,241,5,981,6,-16,19
65936,243,6,986,11,4,17
65937,237,6,999,11,3,16
65938,236,8,995,5,-16,18
65939,239,3,991,-1,-38,20
65940,244,2,987,-1,-44,20
65941,246,5,980,2,-32,18
65942,246,4,992,7,-10,18
65943,245,8,991,9,-4,16
65944,238,3,1001,6,-15,18
65945,244,5,992,2,-31,18
65946,240,5,992,-1,-39,20
65947,242,9,983,0,-40,20
65948,247,4,985,1,-33,20
65949,244,9,988,4,-21,18
65950,243,9,991,8,-10,18
65951,243,6,989,7,-10,17
65952,244,11,991,5,-16,18
65953,243,8,993,3,-25,18
65954,245,4,991,0,-32,19
65955,239,10,987,1,-32,20
65956,246,7,983,4,-20,18
65957,242,5,988,8,-9,16
65958,243,5,994,9,-7,16
65959,244,5,995,7,-15,17
65960,244,11,997,5,-21,18
65961,247,5,987,1,-31,19
65962,241,7,986,-2,-42,20
65963,245,8,986,0,-35,18
65964,249,2,988,4,-25,18
65965,238,5,988,9,-8,18
65966,244,6,993,11,-1,18
65967,242,6,990,7,-14,18
65968,235,2,985,4,-21,19
65969,241,1,990,6,-14,19
65970,241,1,993,5,-17,18
65971,241,6,988,4,-18,17
65972,245,7,993,5,-17,17
65973,242,8,998,3,-23,19
65974,245,4,992,-2,-46,21
65975,244,5,989,-6,-56,21
65976,248,-2,974,-2,-41,15
65977,249,5,987,7,-13,13
65978,248,6,998,6,-13,17
65979,247,11,991,1,-29,18
65980,246,9,986,1,-33,18
65981,248,6,978,4,-25,18
65982,243,11,979,10,1,16
65983,242,13,992,16,18,15
65984,240,8,992,13,10,15
65985,236,9,1000,7,-10,16
65986,246,5,993,0,-33,18
65987,245,7,989,-2,-48,20
65988,247,4,976,-2,-46,20
65989,247,9,976,4,-21,18
65990,248,0,978,13,9,15
65991,243,5,990,14,16,13
65992,240,7,998,11,8,1
65993,246,16,1002,4,-13,3
65994,242,7,993,0,-28,10
65995,237,16,967,3,-14,-1
65996,241,20,963,16,53,-53
65997,244,30,1000,28,103,-69
65998,253,43,1016,7,81,-116
65999,264,19,977,-20,27,-172
66000,258,27,944,-32,-16,-167
66001,256,19,983,-40,-28,-171
66002,244,-18,980,-26,-30,-161
66003,235,-142,1029,21,-53,82
66004,181,-8,1035,-12,-149,109
66005,242,2,971,-52,-212,37
66006,248,-10,921,-35,-135,7
66007,250,2,938,21,43,-7
66008,236,8,998,58,173,-22
66009,236,13,1040,51,157,-23
66010,230,19,1048,11,17,-6
66011,246,18,1001,-30,-131,19
66012,247,7,963,-37,-161,27
66013,253,-4,938,-11,-70,21
66014,240,3,960,28,59,8
66015,224,2,1008,42,128,-16
66016,230,12,1024,28,98,-44
66017,248,19,1010,4,19,-45
66018,267,22,996,-7,-37,-11
66019,243,14,992,-7,-58,19
66020,243,15,990,-3,-58,30
66021,239,8,984,1,-44,30
66022,242,5,978,6,-16,18
66023,240,4,985,12,9,15
66024,223,4,995,11,16,-2
66025,234,7,987,4,14,-29
66026,255,9,984,2,7,-28
66027,252,12,990,7,4,-2
66028,237,12,995,9,0,13
66029,239,10,1001,7,-14,17
66030,240,4,993,0,-35,20
66031,241,7,990,-3,-47,18
66032,237,4,980,1,-35,17
66033,235,8,990,7,-12,15
66034,221,-2,987,9,6,2
66035,240,6,988,10,18,-18
