# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:50
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
71265,253,11,985,6,-17,19
71266,251,14,986,6,-17,18
71267,249,5,985,6,-16,18
71268,250,12,990,6,-19,19
71269,254,4,988,4,-19,19
71270,260,8,991,4,-16,18
71271,255,8,991,4,-18,18
71272,255,11,983,5,-18,18
71273,254,4,985,6,-17,18
71274,254,5,987,6,-17,18
71275,252,8,989,4,-18,18
71276,254,1,996,5,-19,19
71277,246,6,983,4,-19,18
71278,252,8,985,2,-21,18
71279,252,2,991,5,-19,18
71280,250,2,987,5,-19,18
71281,244,3,996,3,-19,17
71282,251,7,989,4,-18,17
71283,261,13,980,4,-17,16
71284,255,8,986,4,-18,17
71285,251,12,988,5,-18,18
71286,250,8,992,3,-19,18
71287,252,6,984,5,-18,17
71288,253,9,989,4,-18,18
71289,244,9,980,4,-19,18
71290,253,9,990,4,-18,17
71291,256,6,987,4,-18,18
71292,248,12,986,6,-18,18
71293,257,9,985,4,-21,18
71294,253,8,990,4,-18,18
71295,255,12,978,4,-17,18
71296,252,9,991,4,-18,20
71297,257,12,989,4,-18,18
71298,247,10,988,4,-18,18
71299,248,12,987,5,-20,17
71300,253,5,989,4,-20,18
71301,252,13,991,4,-20,19
71302,249,5,990,4,-18,19
71303,250,7,989,3,-18,18
71304,256,5,989,2,-20,18
# samples=40
# gaps=0
