# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:17
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
64315,255,3,993,7,-16,18
64316,248,4,991,6,-18,17
64317,248,7,989,4,-25,19
64318,248,3,987,1,-30,20
64319,248,4,991,2,-29,20
64320,244,1,983,3,-24,18
64321,248,2,990,4,-21,18
64322,249,1,992,3,-21,18
64323,244,6,989,2,-24,19
64324,248,7,991,3,-28,23
64325,258,8,998,3,-35,36
64326,246,0,995,0,-42,37
64327,240,7,991,-4,-55,26
64328,255,0,983,-7,-57,20
64329,250,3,975,0,-36,18
64330,252,7,979,10,0,16
64331,250,5,988,17,21,15
64332,248,8,1001,12,6,15
64333,252,3,994,4,-23,18
64334,252,1,983,0,-37,19
64335,253,5,983,0,-30,18
64336,249,3,984,3,-23,18
64337,247,5,987,3,-25,18
64338,253,0,984,6,-15,18
64339,252,3,979,13,8,16
64340,253,2,991,16,18,15
64341,247,6,1003,11,0,17
64342,252,4,992,1,-30,19
64343,252,7,988,-3,-46,21
64344,251,1,979,0,-37,20
64345,251,0,980,7,-14,18
64346,248,3,984,13,7,16
64347,250,6,995,13,7,16
64348,249,9,996,7,-10,17
64349,254,3,996,0,-32,19
64350,251,9,987,-3,-43,20
64351,251,11,986,-3,-42,21
64352,259,4,974,0,-37,25
64353,245,9,992,5,-25,37
64354,243,6,990,5,-25,38
64355,240,9,990,0,-42,29
64356,256,12,989,-6,-58,23
64357,256,6,983,-7,-63,26
64358,257,4,983,-3,-56,38
64359,248,1,982,0,-44,44
64360,246,8,982,2,-33,37
64361,259,3,994,3,-25,25
64362,244,1,990,3,-24,20
64363,251,7,985,2,-29,20
64364,256,6,980,4,-23,20
64365,256,2,986,9,-11,22
64366,245,8,993,9,-6,20
64367,250,4,993,5,-16,19
64368,251,1,983,2,-27,21
64369,250,3,988,3,-24,19
64370,245,3,979,7,-12,16
64371,251,4,988,10,1,16
64372,251,5,990,9,2,15
64373,252,3,989,9,-3,16
64374,255,7,994,6,-14,17
64375,252,9,992,1,-28,19
64376,246,4,989,2,-32,18
64377,255,1,987,4,-19,18
64378,250,3,986,8,-4,17
64379,251,-1,982,10,-2,17
64380,243,1,990,8,-5,18
64381,251,8,997,6,-15,18
64382,247,1,988,1,-29,18
64383,248,3,982,1,-32,19
64384,256,0,984,2,-29,20
64385,255,5,989,4,-25,18
64386,253,1,986,5,-21,17
64387,255,3,988,5,-18,18
64388,252,2,987,4,-21,18
64389,254,8,991,1,-28,18
64390,251,3,987,0,-37,20
64391,255,4,980,2,-32,20
64392,254,1,981,6,-18,18
64393,251,0,995,7,-11,18
64394,248,5,998,4,-21,18
64395,255,-1,988,0,-39,19
64396,249,-3,982,-2,-39,18
64397,251,0,983,2,-25,17
64398,250,0,985,6,-12,16
64399,251,0,989,7,-12,15
64400,242,-3,982,3,-16,4
64401,256,5,976,6,-2,-13
64402,264,7,983,15,22,-9
64403,245,11,998,21,33,4
64404,236,3,1003,15,16,4
64405,244,3,996,2,-16,-11
64406,265,7,976,-4,-35,-14
64407,258,10,984,1,-25,6
64408,254,3,982,8,-7,16
64409,254,5,989,11,-1,17
64410,252,9,984,11,4,11
64411,256,11,992,10,5,7
64412,244,4,1001,4,-19,16
64413,253,0,975,0,-35,20
64414,256,0,969,7,-11,18
64415,250,0,981,21,34,16
64416,228,3,1006,27,56,7
64417,225,0,1005,16,29,-23
64418,252,6,983,1,-1,-53
64419,268,13,992,-1,-15,-31
64420,248,-1,987,7,-9,7
64421,252,4,993,10,-2,17
64422,252,6,987,7,-8,17
64423,249,7,985,6,-16,18
64424,246,0,991,5,-21,18
64425,248,4,980,5,-23,18
64426,248,2,993,6,-17,17
64427,245,5,985,8,-11,16
64428,247,9,996,9,-4,16
64429,246,4,994,6,-13,16
64430,243,0,987,1,-28,13
64431,251,10,987,0,-31,12
64432,251,2,984,4,-23,17
64433,253,4,987,7,-11,17
64434,249,3,993,9,-4,17
64435,244,7,982,10,-2,17
64436,253,8,993,11,0,16
64437,245,7,988,7,-12,18
64438,244,4,998,1,-28,19
64439,246,4,996,0,-37,18
64440,246,8,988,-2,-40,20
64441,244,3,979,1,-32,20
64442,251,4,978,6,-14,17
64443,248,2,992,10,-2,17
