# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:37
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
68590,252,7,983,4,-18,18
68591,253,12,985,5,-19,18
68592,253,4,989,6,-18,18
68593,253,12,987,4,-18,18
68594,253,10,989,4,-18,18
68595,249,4,984,5,-18,18
68596,254,7,989,4,-17,18
68597,259,11,988,4,-18,18
68598,260,8,988,4,-18,18
68599,256,7,991,4,-18,18
68600,249,11,993,5,-17,17
68601,260,9,991,4,-17,17
68602,252,8,986,4,-16,19
68603,255,6,988,4,-19,18
68604,256,8,988,4,-19,18
68605,252,1,986,4,-18,19
68606,255,5,988,5,-18,18
68607,256,7,982,4,-19,18
68608,248,10,985,4,-18,18
68609,251,6,983,4,-19,18
68610,260,4,989,4,-18,16
68611,257,2,993,4,-18,17
68612,255,10,988,4,-18,17
68613,256,5,994,4,-18,17
68614,258,4,993,4,-17,18
68615,248,7,988,4,-18,18
68616,255,12,990,4,-19,18
68617,251,8,985,4,-19,18
68618,255,8,986,4,-19,18
68619,258,7,977,4,-19,18
68620,253,6,987,4,-20,19
68621,248,9,990,5,-20,18
68622,251,14,980,4,-18,17
68623,258,11,981,4,-18,18
68624,251,18,991,4,-18,18
68625,254,9,987,5,-16,18
68626,250,8,987,4,-18,18
68627,257,7,990,4,-18,18
68628,257,5,990,3,-18,18
68629,253,5,981,4,-19,18
68630,257,8,980,4,-18,18
68631,253,0,987,4,-19,18
68632,256,3,984,5,-19,18
68633,252,0,996,6,-17,18
68634,248,3,993,5,-17,19
68635,251,1,996,5,-18,18
68636,247,6,992,4,-18,18
68637,261,1,996,5,-19,19
68638,251,7,993,5,-18,18
68639,255,0,980,4,-20,18
68640,250,6,985,4,-18,18
68641,258,7,985,4,-19,18
68642,251,10,986,4,-18,17
68643,255,10,983,4,-18,19
68644,256,5,988,4,-18,20
# samples=55
# gaps=0
