# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:48:13
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
75990,220,20,996,2,-23,18
75991,223,23,998,3,-18,18
75992,225,26,994,4,-20,18
75993,222,24,997,3,-21,20
75994,222,19,985,4,-20,20
75995,212,21,993,7,-15,17
75996,220,25,1000,9,-10,16
75997,217,23,997,7,-11,16
75998,217,20,997,4,-21,17
75999,221,23,996,0,-34,18
76000,217,24,991,0,-35,19
76001,222,21,993,2,-24,19
76002,222,15,992,4,-16,18
76003,220,19,990,7,-11,18
76004,219,17,994,7,-9,18
76005,222,25,993,8,-11,16
76006,220,16,994,7,-14,17
76007,226,27,998,4,-20,18
76008,219,21,992,3,-25,20
76009,218,20,990,2,-25,19
76010,221,22,989,7,-12,18
76011,222,20,999,11,1,17
76012,211,22,1001,10,0,16
76013,215,27,1000,4,-18,18
76014,223,20,989,1,-31,19
76015,215,18,996,2,-29,19
76016,223,17,990,4,-22,18
76017,223,20,991,4,-19,18
76018,223,16,1000,5,-14,16
76019,219,19,995,8,-9,16
76020,218,18,997,8,-7,16
76021,224,17,999,9,-9,18
76022,217,20,1004,5,-14,17
76023,222,23,996,2,-23,18
76024,217,22,995,1,-30,19
76025,225,25,992,2,-29,21
76026,225,17,986,5,-13,18
76027,219,23,987,13,4,17
76028,216,27,1007,12,2,17
76029,217,24,1005,5,-18,18
76030,221,24,995,0,-39,19
76031,218,26,987,-2,-44,21
76032,218,24,986,0,-35,20
76033,216,18,990,4,-18,18
76034,216,15,992,9,-3,16
76035,216,19,1003,11,2,15
76036,213,22,997,9,-6,17
76037,217,25,999,2,-22,18
76038,216,22,996,-1,-34,18
76039,219,23,989,0,-32,18
76040,223,17,991,2,-23,17
76041,218,18,991,5,-17,17
76042,222,18,994,3,-18,17
76043,217,20,992,2,-25,18
76044,214,20,993,2,-28,18
76045,225,13,993,2,-25,19
76046,217,16,996,3,-21,18
