# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:57
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
72710,251,15,987,5,-16,18
72711,249,6,989,5,-21,18
72712,249,6,992,3,-24,19
72713,242,12,990,2,-25,18
72714,251,14,978,2,-24,18
72715,255,6,987,4,-18,19
72716,244,7,986,6,-13,17
72717,250,8,990,7,-9,16
72718,247,3,993,6,-14,18
72719,252,6,992,2,-24,19
72720,253,9,982,0,-34,19
72721,257,4,974,2,-28,19
72722,252,3,980,5,-12,16
72723,250,7,993,11,0,16
72724,248,0,990,10,-2,16
72725,253,8,989,4,-18,18
72726,250,9,991,0,-35,19
72727,252,9,988,-2,-37,21
72728,249,9,986,0,-26,19
72729,247,7,990,7,-11,18
72730,251,12,995,9,-2,16
72731,249,13,996,9,-8,17
72732,253,4,987,5,-17,18
72733,251,4,990,4,-23,18
72734,253,11,986,3,-25,18
72735,252,11,980,4,-22,18
72736,245,8,984,6,-14,18
72737,250,9,986,7,-11,18
72738,247,8,995,7,-11,18
72739,249,11,996,4,-22,18
72740,251,11,987,2,-25,18
72741,250,13,992,3,-24,19
72742,254,6,990,3,-21,18
72743,252,12,989,3,-19,18
72744,250,12,988,3,-21,19
72745,258,12,987,5,-22,18
72746,246,10,996,4,-20,18
72747,251,15,987,3,-21,18
72748,250,11,988,4,-21,18
72749,254,4,988,5,-18,18
72750,248,12,987,6,-14,18
72751,254,10,983,7,-11,18
72752,247,12,988,8,-14,17
72753,245,7,991,4,-18,18
72754,255,9,990,0,-27,19
72755,250,6,989,1,-30,18
72756,251,6,990,3,-25,18
72757,249,2,986,5,-18,18
72758,244,8,984,6,-13,18
72759,248,10,991,4,-17,18
72760,251,6,991,2,-23,18
72761,251,7,988,2,-25,17
72762,250,2,981,4,-21,16
72763,251,8,986,7,-15,17
72764,247,6,985,7,-13,17
72765,247,3,989,7,-17,17
72766,255,13,990,3,-24,18
72767,254,14,986,1,-30,18
72768,255,6,980,2,-25,19
72769,251,10,978,7,-14,18
72770,246,6,987,9,-4,16
72771,252,9,994,9,-5,17
72772,249,15,989,5,-18,18
72773,247,11,986,1,-29,19
72774,250,6,986,2,-30,18
72775,254,3,978,5,-20,18
72776,249,10,992,8,-9,16
72777,254,13,996,8,-7,17
72778,253,12,993,4,-16,18
72779,254,8,982,2,-26,18
72780,250,4,987,2,-28,17
72781,247,11,986,4,-21,18
72782,256,13,979,6,-15,18
72783,254,5,984,6,-14,16
72784,248,9,987,7,-15,16
72785,253,3,987,6,-18,17
72786,255,6,984,4,-19,18
72787,245,8,996,4,-21,18
72788,252,8,990,2,-23,18
72789,253,10,988,2,-23,18
72790,244,5,984,4,-18,18
72791,251,7,988,6,-14,18
72792,253,7,991,6,-14,19
72793,251,8,985,4,-18,17
72794,252,9,982,4,-21,18
72795,255,9,996,4,-23,18
72796,249,12,986,4,-21,18
72797,250,6,987,4,-17,18
72798,249,7,985,5,-14,17
72799,251,4,987,5,-14,17
72800,252,6,989,4,-18,17
72801,250,13,992,4,-22,18
72802,251,6,986,3,-23,18
72803,257,9,988,4,-20,18
72804,251,14,985,5,-17,17
72805,255,7,981,5,-17,18
72806,251,1,989,4,-19,18
72807,244,7,987,3,-23,18
72808,249,9,992,3,-23,18
72809,250,5,986,4,-20,19
72810,251,9,981,7,-14,18
72811,249,3,994,7,-13,18
72812,253,10,996,5,-17,16
72813,249,6,988,4,-20,17
