# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:12
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
63260,250,-7,980,-3,-43,21
63261,246,-5,975,7,-10,17
63262,249,-2,990,16,16,14
63263,247,-5,999,18,18,14
63264,244,1,996,11,2,15
63265,244,-2,1001,4,-18,18
63266,249,-1,995,-2,-33,20
63267,247,-1,987,-3,-44,21
63268,244,-1,990,-3,-42,20
63269,245,-4,987,1,-30,19
63270,244,-8,991,6,-16,18
63271,251,-4,984,9,-4,17
63272,245,-3,985,11,1,16
63273,243,-13,989,11,-3,17
63274,241,-5,993,6,-14,16
63275,252,-2,995,2,-23,18
63276,250,-12,987,2,-23,18
63277,245,-3,989,4,-18,18
63278,246,-6,990,4,-18,18
63279,245,-3,996,2,-26,19
63280,244,-3,987,0,-36,20
63281,251,-10,984,-1,-39,20
63282,242,-7,993,2,-30,18
63283,245,-1,990,4,-21,18
63284,248,-1,991,4,-20,18
63285,245,-8,990,4,-25,18
63286,246,-5,992,2,-26,16
63287,246,-3,987,2,-21,17
63288,251,0,987,7,-15,18
63289,247,-3,998,3,-20,18
63290,248,-3,989,0,-32,18
63291,250,-5,992,-1,-39,20
63292,253,1,983,0,-36,19
63293,248,-1,983,2,-28,17
63294,247,3,989,4,-17,17
63295,248,-7,987,6,-14,18
63296,246,-3,988,7,-11,18
63297,251,-12,986,9,-6,16
63298,240,0,995,9,-7,16
63299,249,-3,989,4,-18,18
63300,251,-5,985,3,-23,18
63301,246,-9,988,5,-17,17
63302,253,-5,978,9,-7,15
63303,249,-7,989,12,2,13
63304,248,-6,991,11,1,13
63305,245,-3,990,9,-8,13
63306,247,-6,988,5,-14,11
63307,246,-8,982,5,-14,12
63308,245,-9,989,6,-14,13
63309,246,-10,994,7,-7,12
63310,244,-5,990,9,1,11
63311,246,-7,992,11,4,9
63312,241,-9,989,9,0,9
63313,246,-6,994,4,-12,9
63314,250,-7,990,0,-24,12
