# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T19:00:55
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
783067,155,-489,-841,-11,-40,32
783068,159,-490,-849,-8,-43,35
783069,152,-485,-852,0,-39,35
783070,148,-481,-848,6,-41,37
783071,147,-491,-841,16,-39,39
783072,145,-483,-846,20,-30,35
783073,147,-493,-831,23,-26,35
783074,139,-479,-837,14,-28,28
783075,160,-468,-829,18,-28,11
783076,159,-502,-837,-2,-18,18
783077,163,-490,-858,3,-9,34
783078,138,-487,-844,52,-14,40
783079,124,-485,-849,61,37,20
783080,185,-497,-844,49,9,-11
783081,180,-502,-864,65,26,-2
783082,151,-486,-843,84,-4,24
783083,172,-491,-843,85,11,30
783084,162,-492,-844,127,115,21
783085,155,-500,-831,184,135,7
783086,162,-509,-824,201,143,3
783087,159,-481,-826,121,1,26
783088,148,-498,-834,49,-81,46
783089,140,-507,-833,39,-70,35
783090,146,-476,-844,74,-67,18
783091,138,-524,-800,81,-87,35
783092,142,-508,-838,-21,-78,11
783093,162,-483,-840,-19,-81,0
783094,135,-483,-833,-16,-111,17
783095,137,-499,-821,-46,-102,19
783096,148,-489,-812,-172,-62,36
783097,148,-502,-831,-307,1,52
783098,143,-498,-852,-405,25,65
783099,162,-468,-844,-327,16,57
783100,153,-465,-807,-326,20,105
783101,195,-486,-765,-556,79,203
783102,206,-421,-718,-959,172,337
783103,180,-357,-763,-1563,262,613
783104,167,-306,-762,-1849,260,969
783105,195,-287,-775,-2045,189,1358
783106,212,-262,-834,-2348,144,1759
783107,218,-293,-934,-2487,142,2065
783108,228,-376,-997,-2396,211,2140
783109,102,-417,-1043,-2101,199,2060
783110,40,-399,-1059,-1738,198,1911
783111,-11,-415,-1066,-1388,242,1690
783112,43,-445,-1000,-988,325,1466
783113,73,-467,-1007,-528,361,1211
783114,53,-388,-935,-458,303,989
783115,53,-329,-885,-581,388,854
783116,103,-327,-828,-676,463,766
783117,113,-361,-835,-963,437,762
783118,121,-359,-880,-1225,410,766
783119,49,-374,-949,-1353,345,680
783120,13,-382,-998,-1274,349,438
783121,95,-347,-1044,-961,376,125
783122,154,-270,-962,-604,336,-32
783123,145,-253,-880,-440,255,-9
783124,122,-264,-905,-522,208,47
783125,132,-251,-929,-493,207,51
783126,148,-281,-950,-450,149,48
783127,138,-253,-960,-308,57,37
783128,141,-259,-923,-160,8,38
783129,136,-259,-909,-114,-10,65
783130,131,-269,-924,-127,-4,77
783131,131,-243,-1007,-150,0,83
783132,127,-262,-944,-67,0,98
783133,144,-241,-895,86,-20,108
783134,120,-281,-922,61,-74,118
783135,145,-237,-973,126,-102,119
783136,148,-274,-896,224,-119,128
783137,137,-235,-935,160,-165,198
783138,106,-233,-931,149,-135,311
783139,154,-239,-985,263,-149,337
783140,144,-241,-949,508,-242,355
783141,157,-246,-894,670,-290,402
783142,150,-286,-897,618,-284,408
783143,137,-280,-955,527,-287,442
783144,126,-266,-966,589,-294,468
783145,129,-273,-945,680,-278,508
783146,158,-266,-930,687,-247,629
783147,150,-260,-924,659,-231,777
783148,130,-257,-928,696,-263,912
783149,122,-290,-879,698,-293,1038
783150,119,-320,-868,490,-256,1155
783151,63,-358,-903,274,-262,1204
783152,16,-406,-921,216,-240,1162
783153,-72,-482,-943,310,-263,886
783154,-51,-473,-935,410,-270,483
783155,16,-428,-912,371,-149,175
783156,67,-364,-909,214,-58,25
783157,63,-326,-906,101,-16,10
783158,77,-324,-898,105,-27,31
783159,80,-336,-883,122,-68,72
783160,76,-345,-898,109,-115,109
783161,67,-342,-923,99,-138,135
783162,55,-356,-930,120,-133,147
783163,57,-363,-922,142,-117,142
783164,61,-357,-912,115,-86,114
783165,48,-369,-914,72,-58,95
783166,60,-361,-917,57,-51,61
783167,67,-360,-904,73,-60,35
783168,58,-352,-919,37,-43,31
783169,59,-345,-918,53,-32,33
783170,77,-336,-932,61,-17,51
783171,69,-348,-904,110,-48,85
783172,62,-347,-913,105,-50,112
783173,56,-368,-912,75,-58,133
783174,43,-381,-917,46,-54,121
783175,38,-380,-914,56,-44,77
783176,55,-378,-903,-18,-2,27
783177,71,-339,-939,-43,13,21
783178,50,-355,-910,85,-41,23
783179,54,-374,-907,88,-23,24
783180,61,-365,-930,4,11,25
783181,57,-377,-900,-82,41,25
783182,110,-320,-888,-112,46,17
783183,56,-364,-885,-37,-25,26
783184,69,-365,-929,-29,-66,32
783185,59,-367,-913,-25,-77,28
783186,76,-338,-935,-19,-2,24
783187,65,-345,-930,89,11,22
783188,62,-374,-909,82,30,28
783189,71,-328,-864,147,21,28
783190,52,-337,-831,21,-11,5
783191,91,-332,-964,44,-107,-84
783192,36,-290,-902,41,-27,129
783193,4,-448,-930,385,-63,98
783194,15,-447,-813,6,-74,42
783195,54,-270,-1055,-379,307,44
783196,106,-369,-965,-19,275,32
783197,106,-362,-826,378,-30,38
783198,55,-364,-805,300,-121,115
783199,31,-398,-869,16,-85,138
783200,43,-366,-990,-129,-18,86
783201,60,-371,-938,-109,52,51
783202,67,-359,-938,-81,124,37
783203,69,-346,-896,85,81,33
783204,60,-369,-898,121,63,36
783205,63,-383,-915,13,106,41
783206,60,-373,-909,-33,107,44
783207,66,-364,-871,-61,59,35
783208,68,-351,-879,-90,32,26
783209,70,-367,-897,-110,-3,25
783210,51,-380,-902,-169,5,12
783211,54,-366,-953,-242,60,1
783212,60,-396,-914,-140,37,-79
783213,295,-605,-995,-163,217,75
783214,-79,-228,-755,312,717,-44
783215,102,-255,-884,-218,42,49
783216,0,-340,-930,-271,-86,88
783217,76,-414,-984,-777,-39,12
783218,145,-364,-987,-657,280,51
783219,49,-302,-839,-511,413,107
783220,86,-344,-799,-686,355,171
783221,83,-343,-932,-1001,279,235
783222,31,-297,-1121,-814,366,167
783223,146,-268,-979,-77,233,51
783224,132,-266,-866,331,-56,89
783225,105,-308,-825,285,-131,205
783226,78,-371,-861,47,-112,276
783227,36,-392,-915,-175,-105,248
783228,26,-384,-993,-257,-34,108
783229,78,-309,-973,-282,90,35
783230,80,-329,-927,-340,194,47
783231,91,-327,-889,-428,243,55
783232,91,-308,-901,-488,221,51
783233,83,-296,-917,-375,183,29
783234,89,-334,-897,-442,156,57
783235,89,-296,-969,-487,172,55
783236,104,-303,-949,-392,148,37
783237,111,-308,-949,-366,88,34
783238,99,-280,-931,-296,107,37
783239,84,-291,-900,-235,144,23
783240,114,-283,-921,-231,67,-7
783241,113,-279,-949,-240,-45,9
783242,74,-289,-934,-168,-23,21
783243,87,-285,-946,-189,95,19
783244,119,-290,-962,-218,107,10
783245,106,-264,-944,-144,67,12
783246,95,-268,-919,-58,51,25
783247,107,-287,-922,-46,49,28
783248,110,-276,-930,-29,2,25
783249,106,-264,-933,66,-54,20
783250,101,-279,-933,129,-79,22
783251,98,-295,-931,124,-88,21
783252,94,-282,-941,101,-79,14
783253,99,-281,-948,86,-63,10
783254,91,-278,-930,95,-32,19
783255,123,-297,-936,110,-26,30
783256,96,-302,-939,135,-102,22
783257,75,-261,-916,160,-119,9
783258,95,-283,-918,185,-75,18
783259,113,-304,-930,209,-99,24
783260,96,-289,-951,212,-128,19
783261,92,-282,-949,213,-119,21
783262,92,-290,-924,237,-95,22
783263,95,-306,-910,229,-99,28
783264,86,-309,-920,186,-114,28
783265,88,-299,-936,167,-112,16
783266,90,-292,-948,178,-107,15
783267,91,-299,-933,207,-105,20
783268,89,-313,-922,219,-105,24
783269,92,-311,-922,202,-108,22
783270,88,-305,-931,185,-112,21
783271,84,-301,-939,191,-116,19
783272,89,-305,-934,210,-117,16
783273,84,-313,-925,217,-116,19
783274,80,-319,-923,212,-114,23
783275,89,-318,-922,206,-106,25
783276,84,-317,-925,205,-109,25
783277,81,-319,-922,218,-114,23
783278,83,-327,-923,209,-111,21
783279,81,-328,-922,176,-100,25
783280,74,-326,-921,133,-81,30
783281,77,-334,-921,100,-60,26
783282,81,-335,-920,75,-44,21
783283,79,-330,-918,49,-37,19
783284,86,-321,-920,28,-32,16
783285,83,-323,-926,30,-34,16
783286,88,-316,-922,48,-37,16
783287,87,-324,-930,70,-40,15
783288,83,-319,-921,85,-48,17
783289,77,-323,-925,104,-56,19
783290,78,-318,-922,132,-68,18
783291,78,-333,-924,156,-90,20
783292,72,-329,-917,163,-91,21
783293,78,-328,-919,137,-82,21
783294,81,-333,-917,106,-67,19
783295,78,-340,-920,71,-46,21
783296,74,-343,-915,36,-30,18
783297,77,-342,-920,6,-22,18
783298,76,-328,-920,-7,-9,18
783299,78,-338,-925,-5,-8,21
783300,78,-327,-916,6,-11,18
783301,85,-337,-919,18,-16,18
783302,75,-326,-918,32,-21,19
783303,75,-328,-921,32,-20,21
783304,88,-325,-937,41,-32,19
783305,69,-322,-929,92,-49,14
783306,87,-328,-917,149,-60,9
783307,78,-336,-922,149,-53,18
783308,81,-333,-931,126,-42,22
783309,80,-331,-934,148,-51,20
783310,82,-329,-917,200,-63,25
783311,88,-336,-904,213,-78,35
783312,83,-341,-915,143,-58,50
783313,68,-350,-926,121,-41,44
783314,61,-342,-909,156,-38,30
783315,65,-349,-907,175,-41,23
783316,86,-358,-916,114,-41,30
783317,64,-355,-919,51,-26,28
783318,76,-344,-914,30,-7,17
783319,81,-354,-902,26,-14,14
