# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:39
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
69000,258,15,987,4,-17,18
69001,249,10,983,4,-18,18
69002,251,8,993,4,-19,18
69003,259,11,989,6,-21,19
69004,250,9,985,4,-19,18
69005,256,16,988,4,-18,18
69006,256,8,984,4,-19,18
69007,255,8,987,4,-18,18
69008,248,13,985,4,-18,19
69009,250,7,982,5,-18,19
69010,257,0,979,4,-18,18
69011,257,0,993,4,-19,17
69012,249,6,980,4,-20,18
69013,254,2,981,4,-19,18
69014,253,4,988,4,-19,18
69015,256,10,988,4,-19,18
69016,254,10,986,4,-18,18
69017,257,12,983,4,-20,17
69018,250,6,987,5,-18,17
69019,255,6,989,5,-18,18
69020,256,9,979,5,-18,18
69021,248,13,987,5,-18,18
69022,252,7,986,3,-18,18
69023,258,4,985,4,-18,18
69024,257,10,990,5,-18,18
69025,255,4,986,6,-18,18
69026,252,7,985,5,-18,18
69027,251,5,981,6,-18,18
69028,257,4,983,6,-18,17
69029,251,1,986,6,-18,18
69030,255,8,990,4,-18,16
69031,254,5,989,4,-18,17
69032,254,3,982,4,-18,17
69033,252,5,989,4,-19,18
69034,251,6,987,4,-19,18
69035,251,9,987,3,-18,18
69036,256,13,993,4,-18,18
69037,254,0,981,4,-19,18
69038,254,9,982,4,-18,19
69039,256,9,989,4,-20,18
69040,255,9,984,5,-20,18
69041,261,4,991,4,-20,17
69042,250,13,984,3,-18,16
69043,255,8,990,4,-18,18
69044,261,12,985,4,-19,18
69045,255,8,989,4,-18,17
69046,253,10,990,4,-18,18
69047,254,11,986,4,-18,18
69048,249,6,989,4,-18,18
69049,248,7,987,5,-17,19
69050,251,9,993,4,-17,18
69051,259,7,985,5,-18,18
69052,260,7,982,4,-18,18
69053,254,3,983,5,-19,18
69054,255,3,991,4,-19,18
69055,253,7,988,4,-18,18
69056,252,1,991,4,-18,18
69057,255,5,980,4,-18,18
69058,255,8,988,4,-18,18
69059,249,1,987,6,-19,18
69060,249,2,985,6,-18,18
69061,251,1,993,5,-18,18
69062,257,4,991,4,-17,18
69063,255,6,990,4,-18,18
69064,253,10,988,5,-19,18
69065,251,5,985,5,-18,17
69066,255,9,987,4,-17,17
69067,255,12,987,5,-18,17
69068,254,6,986,5,-19,17
69069,253,11,983,5,-18,19
69070,253,11,990,4,-18,18
69071,248,16,993,4,-20,18
69072,255,11,978,5,-19,19
69073,253,11,991,5,-19,18
69074,257,10,986,5,-19,18
69075,252,1,987,5,-19,18
69076,252,8,984,4,-21,19
69077,259,10,988,5,-18,19
69078,251,8,988,4,-19,18
69079,252,7,982,4,-19,18
69080,259,4,990,5,-18,18
69081,251,4,985,5,-18,18
69082,250,9,987,4,-18,18
69083,256,10,988,4,-18,18
69084,255,7,989,4,-19,18
69085,256,10,985,4,-19,18
69086,251,7,981,5,-18,18
69087,261,6,987,4,-19,18
69088,250,12,986,4,-19,18
69089,255,8,992,3,-18,18
69090,255,5,983,4,-17,18
69091,257,2,988,4,-18,18
69092,252,7,983,5,-18,18
69093,251,5,991,4,-18,19
69094,252,6,989,4,-18,18
69095,254,4,985,4,-18,18
69096,257,8,991,4,-18,18
69097,252,3,988,4,-19,17
