# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:49:11
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
88039,263,960,-134,4,-19,16
88040,263,958,-131,4,-18,16
88041,261,965,-130,5,-21,18
88042,257,961,-131,4,-21,17
88043,258,957,-128,5,-23,16
88044,257,957,-124,5,-23,18
88045,264,955,-126,5,-25,18
88046,258,960,-125,5,-27,18
88047,260,953,-127,4,-27,18
88048,261,961,-123,4,-27,16
88049,254,957,-122,4,-26,18
88050,256,963,-123,3,-26,16
88051,263,958,-123,4,-26,16
88052,256,954,-121,4,-27,17
88053,254,955,-126,3,-25,17
88054,257,956,-124,3,-21,15
88055,254,957,-126,3,-21,16
88056,261,959,-118,4,-19,16
88057,262,957,-126,6,-20,16
88058,257,959,-124,5,-17,17
88059,259,955,-121,6,-14,17
88060,261,961,-130,7,-13,18
88061,261,956,-126,7,-13,17
88062,261,957,-120,7,-11,18
88063,261,960,-127,8,-10,19
88064,264,953,-127,8,-9,18
88065,258,957,-127,7,-11,18
88066,269,961,-131,7,-10,18
88067,262,955,-128,7,-13,17
88068,270,960,-133,8,-16,18
88069,268,953,-128,8,-18,21
88070,267,957,-123,7,-17,20
88071,271,958,-134,7,-17,20
88072,265,959,-126,7,-16,21
88073,260,963,-129,7,-17,20
88074,261,960,-127,7,-16,18
88075,264,966,-123,8,-16,20
88076,257,958,-130,7,-16,18
88077,262,966,-122,7,-17,16
88078,261,966,-120,6,-18,16
88079,257,967,-119,6,-21,16
88080,259,963,-124,5,-23,18
88081,262,961,-122,5,-23,19
88082,257,954,-120,4,-23,22
88083,260,953,-121,5,-22,21
88084,260,955,-121,6,-21,21
88085,259,953,-122,6,-21,20
88086,257,955,-126,5,-18,21
88087,259,960,-124,5,-17,21
88088,258,959,-127,5,-15,19
88089,259,961,-126,6,-13,19
88090,262,955,-131,7,-11,20
88091,268,960,-130,7,-11,21
88092,267,960,-133,6,-11,20
88093,271,956,-133,7,-11,21
88094,266,961,-132,7,-11,22
88095,270,962,-126,7,-13,22
88096,270,957,-131,7,-17,21
88097,272,958,-125,9,-18,21
88098,273,956,-125,9,-20,22
88099,270,956,-130,9,-23,22
88100,267,955,-131,7,-24,21
88101,267,955,-127,8,-25,21
88102,264,952,-131,9,-26,21
88103,272,956,-134,7,-28,20
88104,266,955,-129,7,-28,18
88105,264,957,-122,6,-27,18
88106,266,953,-124,6,-26,16
88107,265,961,-128,4,-26,15
88108,263,953,-128,5,-26,14
88109,266,960,-123,4,-26,12
88110,272,958,-127,4,-26,9
88111,275,953,-118,4,-27,9
88112,271,961,-126,5,-27,8
88113,276,961,-126,4,-29,5
88114,272,965,-125,4,-29,4
88115,279,961,-124,4,-31,4
88116,273,954,-125,2,-32,4
88117,277,955,-127,2,-32,5
88118,281,958,-130,2,-32,4
88119,275,956,-129,1,-32,4
88120,274,957,-130,1,-33,4
88121,274,961,-125,2,-33,4
88122,273,967,-125,2,-34,4
88123,267,965,-125,2,-34,7
88124,269,961,-127,4,-35,7
88125,273,961,-122,6,-37,7
88126,271,962,-125,7,-39,10
88127,269,959,-131,9,-40,11
88128,272,963,-133,8,-41,11
88129,264,958,-127,7,-40,13
88130,263,957,-122,7,-39,14
88131,260,957,-129,7,-39,14
88132,256,957,-130,8,-39,14
88133,264,958,-122,7,-40,14
