# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T19:01:07
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
785592,-425,40,919,-35,-30,-2
785593,-425,35,911,-31,-24,0
785594,-422,37,909,-25,-16,3
785595,-419,33,914,-18,-14,7
785596,-427,42,912,-17,-14,9
785597,-426,32,915,-19,-18,8
785598,-433,36,916,-18,-20,9
785599,-428,35,919,-22,-25,6
785600,-425,27,916,-30,-28,0
785601,-430,37,918,-34,-22,0
785602,-426,34,912,-34,-19,-2
785603,-425,35,915,-31,-17,0
785604,-418,35,911,-29,-18,0
785605,-420,32,911,-25,-18,4
785606,-420,34,904,-24,-21,4
785607,-426,40,915,-23,-22,6
785608,-424,36,913,-22,-28,3
785609,-416,33,915,-23,-30,0
785610,-424,33,916,-24,-30,1
785611,-429,39,914,-29,-28,0
785612,-417,35,910,-34,-31,-5
785613,-419,29,915,-35,-32,-7
785614,-427,35,917,-32,-32,-5
785615,-427,33,921,-25,-30,0
785616,-422,37,925,-25,-30,0
785617,-417,25,923,-30,-34,-4
785618,-429,28,914,-32,-31,-6
785619,-419,28,914,-28,-24,1
785620,-425,26,916,-25,-26,0
785621,-426,27,920,-23,-31,0
785622,-420,28,911,-21,-32,3
785623,-420,24,915,-17,-30,4
785624,-424,31,918,-10,-24,7
785625,-426,27,920,-9,-18,10
785626,-421,29,916,-7,-16,10
785627,-416,32,913,-7,-18,12
785628,-424,31,917,-5,-21,11
785629,-423,33,918,-8,-22,11
785630,-420,30,911,-11,-22,9
785631,-425,32,913,-13,-24,7
785632,-423,29,917,-14,-21,8
785633,-424,23,916,-8,-24,9
785634,-420,23,913,-3,-26,13
785635,-415,26,916,0,-29,14
785636,-425,30,916,0,-30,14
785637,-421,25,912,4,-29,15
785638,-427,25,915,4,-23,17
785639,-425,24,923,4,-19,18
785640,-425,28,918,4,-17,20
785641,-423,30,911,4,-18,20
785642,-423,27,915,3,-19,18
785643,-419,18,916,-1,-22,16
785644,-420,23,915,-5,-23,11
785645,-425,24,915,-4,-24,11
785646,-426,30,914,-5,-25,13
785647,-413,17,919,-4,-26,14
785648,-420,29,917,1,-22,20
785649,-428,28,915,8,-20,21
785650,-419,26,917,9,-13,22
785651,-421,31,917,8,-11,21
785652,-418,24,914,7,-17,19
785653,-422,27,912,8,-23,18
785654,-423,28,916,9,-27,19
785655,-426,28,919,9,-25,22
785656,-421,29,923,7,-21,19
785657,-421,27,923,1,-16,18
785658,-420,30,913,0,-13,17
785659,-423,28,917,0,-21,16
785660,-417,28,920,-4,-35,11
785661,-425,29,925,-10,-40,7
785662,-424,19,920,-14,-34,7
785663,-433,35,914,-17,-19,8
785664,-429,21,918,-21,-9,4
785665,-422,28,921,-21,0,9
785666,-417,22,913,-22,-6,4
785667,-421,23,916,-21,-8,6
785668,-422,28,913,-15,-13,9
785669,-425,26,907,-11,-18,11
785670,-428,25,912,-12,-25,7
785671,-420,20,917,-10,-29,7
785672,-436,21,938,-12,-30,5
785673,-430,82,903,-55,-50,-30
785674,-416,-24,936,-25,-18,4
785675,-399,19,881,-6,1,16
785676,-428,29,919,7,18,30
785677,-435,39,913,0,-3,21
785678,-423,17,910,-24,-42,-4
785679,-405,11,908,-19,-51,-2
785680,-418,17,923,9,-32,20
785681,-428,32,927,9,-18,25
785682,-430,25,936,-15,-21,3
785683,-418,30,917,-26,-16,0
785684,-410,9,904,-14,-6,7
785685,-420,11,920,9,13,28
785686,-431,33,905,9,2,25
785687,-422,19,915,0,-18,16
785688,-425,20,913,-4,-33,11
785689,-424,22,920,-5,-41,7
785690,-426,20,925,-5,-39,9
785691,-422,19,922,-7,-36,9
785692,-414,22,920,-6,-23,13
785693,-424,20,919,-4,-10,17
785694,-424,28,908,-6,-5,16
785695,-424,21,908,-4,-10,12
785696,-423,16,903,-4,-19,11
785697,-423,21,914,2,-32,14
785698,-420,25,926,9,-40,18
785699,-421,24,928,11,-41,18
785700,-426,19,926,8,-28,19
785701,-423,27,922,3,-5,20
785702,-421,28,921,-2,9,16
785703,-428,18,912,-8,7,11
785704,-422,19,914,-5,-7,10
785705,-428,13,922,1,-24,16
785706,-430,24,917,7,-35,18
785707,-424,21,924,4,-37,16
785708,-423,16,924,0,-30,15
785709,-421,22,919,-3,-19,14
785710,-422,23,912,-7,-8,14
785711,-421,24,915,-4,-7,14
785712,-422,16,913,-3,-14,14
785713,-420,22,911,1,-23,16
785714,-420,17,914,3,-28,17
785715,-421,25,918,1,-30,16
785716,-423,19,917,0,-35,13
785717,-417,18,920,-4,-35,9
785718,-421,12,925,-3,-30,10
785719,-419,20,927,-4,-14,14
785720,-426,22,922,-1,0,18
785721,-420,20,921,-2,-2,16
785722,-426,19,915,-4,-14,15
785723,-420,18,909,-2,-26,14
785724,-421,19,909,1,-32,16
785725,-418,24,915,2,-33,16
785726,-421,19,924,-2,-30,12
785727,-417,18,916,-5,-26,9
785728,-424,15,914,-4,-18,11
785729,-418,21,914,-2,-14,18
785730,-425,25,916,3,-19,18
785731,-419,20,919,0,-23,16
785732,-416,23,918,0,-25,15
785733,-421,20,919,-2,-21,15
785734,-429,19,921,-5,-18,13
785735,-420,19,923,-9,-21,10
785736,-424,22,921,-9,-22,11
785737,-422,20,918,-12,-23,11
785738,-420,27,910,-13,-23,11
785739,-424,19,918,-15,-23,7
785740,-415,18,918,-18,-21,5
785741,-413,22,915,-13,-16,6
785742,-424,21,920,-14,-14,10
785743,-415,17,912,-17,-28,4
785744,-421,16,923,-17,-32,3
785745,-419,9,916,-7,-25,11
785746,-423,22,919,-4,-21,14
785747,-424,19,917,-7,-21,11
785748,-421,17,919,-9,-20,9
785749,-417,15,918,-6,-18,10
785750,-423,20,914,-4,-16,15
785751,-420,21,919,-4,-21,14
785752,-421,9,917,-3,-22,14
785753,-414,12,916,-1,-17,14
785754,-422,14,920,0,-15,15
785755,-424,14,919,0,-19,16
785756,-426,17,912,1,-25,16
785757,-423,13,917,4,-28,16
785758,-426,14,918,2,-23,16
785759,-424,21,924,0,-18,15
785760,-422,11,925,-3,-13,13
785761,-418,20,916,-4,-10,15
785762,-417,21,918,1,-10,17
785763,-419,16,916,0,-12,19
785764,-417,16,913,3,-21,18
785765,-415,15,912,-1,-28,15
785766,-424,17,915,-3,-30,12
785767,-419,17,916,-1,-24,14
785768,-421,17,916,4,-16,19
785769,-417,18,912,3,-16,18
785770,-417,14,911,-2,-19,14
785771,-413,14,908,-1,-21,14
785772,-416,17,914,4,-21,18
785773,-427,20,916,4,-24,18
785774,-420,18,921,3,-28,16
785775,-419,9,920,2,-32,16
785776,-420,16,914,4,-25,17
785777,-420,16,915,6,-18,21
785778,-423,22,917,4,-12,20
785779,-422,17,914,2,-10,17
785780,-422,19,909,2,-11,18
785781,-419,19,910,4,-16,20
785782,-425,21,914,5,-25,17
785783,-417,16,915,2,-30,14
785784,-419,9,919,4,-24,16
785785,-424,12,923,7,-14,21
785786,-433,22,926,7,-7,21
785787,-420,20,915,6,-11,19
785788,-422,18,922,4,-16,18
785789,-421,17,918,9,-16,20
785790,-417,14,914,10,-12,22
785791,-422,18,921,11,-6,25
785792,-425,15,913,5,-5,20
785793,-426,14,918,0,-9,15
785794,-417,14,915,4,-11,18
785795,-425,24,916,10,-14,23
785796,-422,22,916,1,-32,13
785797,-413,16,916,-7,-37,8
785798,-415,22,924,-4,-28,11
785799,-424,19,929,-6,-21,12
785800,-420,21,919,-9,-17,11
785801,-416,11,920,-7,-18,11
785802,-419,16,913,-2,-16,16
785803,-418,15,919,7,-13,21
785804,-421,21,917,5,-11,22
785805,-418,10,915,3,-18,16
785806,-416,15,920,5,-21,18
785807,-421,14,914,14,-23,24
785808,-424,19,923,18,-29,26
785809,-420,21,920,7,-35,20
785810,-422,18,914,2,-37,14
785811,-414,12,915,1,-27,16
785812,-424,18,926,8,-12,22
785813,-424,21,924,4,-3,23
785814,-423,15,915,4,-6,19
785815,-417,15,916,4,-11,18
785816,-419,20,914,5,-18,19
785817,-415,17,921,4,-26,17
785818,-422,14,924,-1,-34,10
785819,-420,15,923,-1,-32,9
785820,-419,15,927,-1,-23,14
785821,-423,15,935,-1,-15,14
785822,-408,64,898,-43,-30,-22
785823,-424,-21,944,-14,1,16
785824,-393,25,883,-4,2,13
785825,-429,10,928,14,9,32
785826,-425,34,910,1,-21,18
785827,-423,12,918,-20,-60,-7
785828,-410,0,912,-17,-56,0
785829,-414,13,923,11,-30,23
785830,-428,21,933,7,-11,26
785831,-419,14,924,-4,-1,15
785832,-416,14,910,-16,7,7
785833,-415,5,913,-3,7,17
785834,-422,12,912,2,-11,16
785835,-428,23,920,1,-33,16
785836,-411,4,924,3,-50,12
785837,-409,4,913,11,-32,23
785838,-422,27,914,16,-9,28
785839,-431,21,933,2,-6,20
785840,-420,14,918,-16,-14,4
785841,-419,11,916,-14,-15,6
785842,-423,9,913,5,-14,21
785843,-426,16,921,9,-18,24
785844,-419,20,920,1,-21,18
785845,-417,14,919,-9,-25,10
785846,-423,15,914,-7,-25,10
785847,-420,13,916,-4,-16,14
785848,-417,15,925,-3,-13,16
785849,-420,15,924,-5,-16,14
785850,-420,13,916,-7,-17,13
785851,-421,8,920,-2,-20,16
