# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T19:01:10
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
786282,-421,5,915,-50,-16,-6
786283,-409,1,909,-51,-19,-7
786284,-421,0,916,-46,-19,-4
786285,-415,-2,916,-43,-14,-4
786286,-409,0,921,-39,1,-2
786287,-417,0,913,-37,15,2
786288,-422,-1,917,-35,18,3
786289,-419,0,914,-32,14,3
786290,-417,2,912,-27,11,6
786291,-421,0,911,-19,4,10
786292,-420,-1,915,-16,-1,11
786293,-417,5,915,-16,-6,9
786294,-419,-1,914,-18,-14,6
786295,-420,-3,914,-21,-17,4
786296,-414,0,911,-18,-15,7
786297,-418,-9,920,-19,-11,6
786298,-422,-3,920,-23,-9,4
786299,-416,-2,918,-24,-7,2
786300,-422,0,919,-23,-4,3
786301,-414,-5,916,-18,2,9
786302,-421,-2,917,-16,2,10
786303,-421,0,906,-15,0,9
786304,-418,0,917,-16,-2,8
786305,-421,1,912,-18,-2,5
786306,-423,-7,918,-19,-2,1
786307,-426,-9,917,-16,-4,5
786308,-430,2,916,-13,-6,10
786309,-426,-1,918,-8,-4,12
786310,-426,-5,918,-4,-1,16
786311,-423,-5,921,-2,-3,16
786312,-416,-5,910,-2,-7,16
786313,-421,-4,912,0,-9,15
786314,-419,-4,914,1,-8,18
786315,-424,-3,914,2,-9,18
786316,-423,-3,914,2,-14,14
786317,-427,-3,917,1,-17,12
786318,-427,-4,915,-1,-11,15
786319,-426,-9,912,2,-7,16
786320,-426,-2,911,0,-5,18
786321,-425,-6,915,9,-12,20
786322,-426,-2,920,5,-14,21
786323,-421,-10,915,8,-16,19
786324,-423,-4,918,3,-8,19
786325,-424,-5,913,0,0,18
786326,-427,-8,910,0,2,17
786327,-421,-8,915,1,1,18
786328,-422,-4,916,2,-1,19
786329,-426,0,911,4,-2,21
786330,-421,-1,917,16,-1,24
786331,-422,-2,912,2,1,19
786332,-428,-8,914,4,3,21
786333,-423,-4,919,-1,4,20
786334,-424,-4,910,-2,0,21
786335,-429,-2,914,6,-1,25
786336,-425,-7,917,3,4,26
786337,-428,-1,916,7,2,23
786338,-421,-1,914,0,6,22
786339,-426,-3,917,5,7,21
786340,-426,-6,918,1,16,24
786341,-423,-9,920,-2,24,26
786342,-426,-2,918,0,28,25
786343,-429,0,914,-2,30,26
786344,-430,0,914,-5,28,22
786345,-420,-3,920,-10,35,18
786346,-427,-8,923,-17,55,17
786347,-418,-1,914,-23,77,16
786348,-440,-13,927,-16,93,13
786349,-438,5,901,-31,88,4
786350,-432,-10,913,9,45,-17
786351,-446,-4,897,-18,32,-11
786352,-427,-10,875,-30,4,-10
786353,-439,-5,898,16,-55,-11
786354,-432,-5,920,-4,-74,0
786355,-425,1,917,17,-84,7
786356,-439,-9,940,16,-46,16
786357,-424,6,932,-28,18,4
786358,-435,6,928,-41,65,-12
786359,-424,2,902,-80,99,-32
786360,-429,-5,874,-79,86,-40
786361,-447,3,899,-74,48,-58
786362,-436,-11,884,-67,-4,-60
786363,-436,-29,897,-48,-53,-56
786364,-438,-20,905,-33,-60,-45
786365,-436,-14,936,-49,-28,-30
786366,-441,-19,939,-9,-14,-30
786367,-439,-9,937,-23,16,-27
786368,-441,-24,912,-36,37,-17
786369,-423,-16,901,-8,40,-18
786370,-434,-19,897,-23,70,-15
786371,-431,-8,900,-63,95,-19
786372,-433,-14,894,-71,82,-26
786373,-457,-22,890,-68,46,-36
786374,-447,-6,890,-82,11,-33
786375,-443,-31,915,-35,-26,-24
786376,-436,-27,912,-27,-22,1
786377,-437,-15,914,-32,0,2
786378,-436,-10,920,-41,37,13
786379,-435,-11,913,-42,63,6
786380,-430,-13,895,-58,95,-4
786381,-436,-20,884,-76,114,-21
786382,-437,-18,898,-100,129,-25
786383,-449,-12,902,-107,130,-31
786384,-439,-16,902,-79,113,-40
786385,-449,-24,904,-65,91,-44
786386,-454,-28,906,-81,75,-39
786387,-449,-24,896,-79,44,-30
786388,-448,-31,916,-58,6,-11
786389,-451,-27,906,-32,0,2
786390,-440,-32,910,-26,14,15
786391,-429,-22,914,-22,30,23
786392,-434,-16,905,-32,52,21
786393,-440,-18,905,-56,72,4
786394,-442,-18,909,-70,88,-13
786395,-446,-29,907,-84,107,-26
786396,-444,-30,907,-101,121,-27
786397,-447,-23,906,-111,134,-25
786398,-456,-18,902,-126,146,-36
786399,-457,-1,896,-119,127,-75
786400,-459,-22,890,-216,116,-98
786401,-452,-48,866,-204,52,-121
786402,-465,-42,900,-163,-2,-138
786403,-440,-39,895,-197,25,-128
786404,-456,-42,919,-234,64,-125
786405,-433,-58,876,-241,91,-122
786406,-348,-44,962,-142,116,-22
786407,-464,-120,870,7,93,385
786408,-535,-153,1000,359,193,424
786409,-545,-110,950,102,452,422
786410,-464,-69,910,128,546,516
786411,-469,-14,871,386,375,619
786412,-483,48,844,544,175,632
786413,-453,46,891,456,62,588
786414,-451,70,785,241,-24,576
786415,-508,-12,835,88,27,494
786416,-507,-39,813,-63,86,216
786417,-450,32,841,-148,121,-65
786418,-496,14,879,-193,112,-153
786419,-504,22,899,-229,33,-225
786420,-514,-8,917,-262,-34,-266
786421,-487,-48,915,-298,-46,-263
786422,-469,-80,911,-256,-1,-210
786423,-475,-75,910,-149,68,-124
786424,-477,-65,904,-78,147,-34
786425,-491,-36,893,-26,179,18
786426,-495,-32,877,-43,191,58
786427,-492,-20,865,-44,158,65
786428,-487,-31,874,-9,102,62
786429,-477,-15,844,-30,63,46
786430,-481,-18,846,-22,6,13
786431,-477,-21,862,-16,-50,-16
786432,-475,-34,855,-25,-79,-28
786433,-487,-45,879,7,-99,-19
786434,-483,-35,889,3,-93,0
786435,-481,-48,898,-3,-65,25
786436,-491,-23,901,28,-63,33
786437,-489,-13,893,-12,-35,31
786438,-471,-20,899,8,-33,-3
786439,-473,-21,896,-21,9,-28
786440,-478,-28,899,-47,70,-36
786441,-479,-26,896,-57,114,-54
786442,-493,-25,910,-88,160,-74
786443,-488,-21,896,-163,221,-90
786444,-484,-49,875,-198,258,-96
786445,-501,-60,869,-144,254,-77
786446,-517,-69,862,-122,228,-34
786447,-490,-55,829,-93,193,18
786448,-500,-33,842,-39,114,30
786449,-488,-59,834,35,28,39
786450,-496,-39,848,77,-42,44
786451,-492,-43,852,33,-51,66
786452,-467,-29,864,129,-104,51
786453,-534,-11,919,88,-112,46
786454,-508,-30,880,-127,-61,57
786455,-488,-29,876,-46,-139,9
786456,-482,-63,896,79,-175,-10
786457,-464,-58,893,37,-84,10
786458,-488,-52,910,12,46,55
786459,-493,-23,885,-11,123,72
786460,-505,-19,882,-19,123,53
786461,-507,-16,876,-42,95,26
786462,-498,-20,866,-60,49,-23
786463,-492,-41,865,-67,26,-49
786464,-485,-60,871,-39,22,-49
786465,-489,-58,879,-5,51,-23
786466,-488,-51,875,-14,98,7
786467,-497,-46,868,0,114,34
786468,-515,-35,864,-7,86,37
786469,-508,-30,867,-14,30,32
786470,-474,-45,886,-65,-81,30
786471,-473,-33,857,-42,-131,16
786472,-475,-38,871,16,-67,3
786473,-496,-64,838,62,-20,44
786474,-528,-52,884,107,-66,63
786475,-477,-66,897,-20,-224,79
786476,-533,-42,810,7,-328,72
786477,-502,-53,892,56,-103,122
786478,-508,-40,874,109,-63,129
786479,-556,-52,874,150,-135,192
786480,-577,-10,802,108,-270,272
786481,-480,-47,776,285,-475,282
786482,-584,-131,865,317,-653,455
786483,-368,-29,789,172,-724,458
786484,-388,13,866,331,-788,347
786485,-420,20,1081,358,-722,203
786486,-438,66,1011,181,-478,47
786487,-550,76,935,-27,-252,9
786488,-508,24,1012,-36,-69,-51
786489,-479,14,984,-28,39,-155
786490,-457,-23,943,-111,199,-178
786491,-445,-45,900,-171,345,-148
786492,-459,-60,853,-255,449,-49
786493,-468,-56,819,-246,424,12
786494,-435,-22,853,-169,266,58
786495,-498,-44,804,-93,126,60
786496,-497,-20,819,-71,-38,38
786497,-500,-40,840,-35,-215,45
786498,-478,-31,853,49,-382,59
786499,-473,-40,888,147,-499,77
786500,-455,-36,922,215,-530,94
786501,-456,-17,954,228,-464,109
786502,-427,0,956,187,-319,94
786503,-442,1,955,129,-142,68
786504,-455,-7,933,5,27,35
786505,-444,-21,897,-42,116,13
786506,-476,-28,923,-23,134,30
786507,-459,-2,889,149,45,-5
786508,-514,-26,890,249,-36,13
786509,-500,7,901,65,-86,-2
786510,-467,-37,855,-17,-141,35
786511,-432,-45,833,84,-256,32
786512,-426,-79,881,158,-261,95
786513,-442,-8,898,140,-173,160
786514,-463,14,926,138,-118,169
786515,-464,47,943,141,-123,100
786516,-475,7,973,44,-71,34
786517,-436,-2,916,-47,0,-28
786518,-437,-38,909,-47,66,-48
786519,-448,-44,872,-40,123,-9
786520,-474,-37,865,0,106,54
786521,-474,-18,866,86,-3,98
786522,-473,0,892,156,-135,114
786523,-453,6,909,135,-197,100
786524,-440,0,917,84,-181,63
786525,-435,8,921,29,-102,24
786526,-430,-11,908,-33,12,0
786527,-444,-6,898,-37,92,-6
786528,-450,-6,896,-12,107,-10
786529,-468,-10,894,11,78,-9
786530,-458,-16,895,3,35,-2
786531,-454,-17,890,35,-14,9
786532,-459,-20,914,69,-35,25
786533,-445,-3,885,55,-27,46
786534,-463,1,918,50,-39,32
786535,-453,-7,906,39,-28,21
