# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T22:47:52
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
71848,256,7,984,6,-16,18
71849,247,15,988,7,-14,18
71850,251,7,991,6,-16,18
71851,250,6,988,4,-21,18
71852,250,6,990,3,-23,18
71853,247,6,984,4,-23,18
71854,245,6,991,4,-21,18
71855,249,1,988,4,-18,18
71856,254,7,984,7,-14,17
71857,254,12,987,7,-14,18
71858,253,9,988,3,-21,19
71859,257,6,983,3,-26,18
71860,258,11,985,5,-21,18
71861,249,15,986,8,-10,17
71862,250,11,990,8,-7,17
71863,252,10,987,7,-14,18
71864,253,6,989,4,-20,18
71865,248,14,989,3,-22,19
71866,251,10,989,4,-19,18
71867,253,13,987,6,-17,18
71868,251,13,989,6,-15,18
71869,251,9,988,6,-15,18
71870,246,8,991,4,-16,16
71871,253,14,986,4,-18,16
71872,250,8,988,2,-21,17
71873,251,0,990,2,-24,18
71874,254,5,981,2,-24,18
71875,250,12,985,2,-22,18
71876,254,6,986,4,-16,18
71877,248,7,991,7,-11,18
71878,244,8,989,7,-12,17
71879,243,8,986,6,-18,18
71880,254,4,993,4,-22,18
71881,255,7,983,4,-21,18
71882,253,4,981,4,-18,18
71883,247,5,985,5,-15,18
71884,249,8,986,6,-12,18
71885,256,8,994,6,-13,17
71886,251,9,990,5,-17,17
71887,252,8,990,2,-24,18
71888,247,10,985,0,-29,18
71889,250,7,986,2,-27,18
71890,253,8,981,6,-19,18
71891,252,10,983,8,-10,17
71892,245,13,987,9,-6,18
71893,249,12,988,7,-11,18
71894,253,6,994,2,-21,18
71895,257,10,990,1,-30,19
71896,248,17,984,1,-30,18
71897,250,9,983,3,-24,18
71898,250,8,987,5,-16,18
71899,249,7,986,8,-7,18
71900,246,13,991,9,-2,18
71901,252,11,996,9,-11,18
71902,251,10,996,3,-25,18
71903,251,8,990,-2,-36,19
71904,245,9,980,0,-37,19
71905,252,9,983,5,-18,19
71906,251,5,985,11,3,16
71907,255,8,999,11,2,16
71908,250,12,1000,4,-17,19
71909,254,6,986,-1,-37,21
71910,250,6,981,-1,-39,21
71911,255,12,975,3,-23,21
71912,251,8,992,11,-2,18
71913,250,11,991,12,2,16
71914,247,8,992,7,-7,16
71915,245,8,988,4,-23,17
71916,248,6,986,2,-27,18
71917,248,9,986,4,-21,19
71918,251,10,986,6,-16,20
71919,250,9,990,5,-17,18
71920,252,6,987,4,-22,17
71921,249,5,994,3,-24,19
71922,251,10,989,3,-24,19
71923,251,7,990,2,-26,19
71924,248,11,993,3,-23,19
71925,251,15,985,6,-16,18
71926,247,10,994,5,-14,18
71927,253,6,994,2,-23,18
71928,252,9,991,0,-35,19
71929,255,13,976,0,-34,18
71930,252,17,982,2,-22,19
71931,250,9,987,6,-15,19
71932,250,5,977,8,-10,18
71933,247,12,983,10,-6,16
71934,252,9,990,11,-2,17
71935,247,14,996,9,-5,17
71936,246,7,989,3,-23,17
71937,253,7,989,0,-33,18
71938,245,12,987,0,-32,20
71939,252,10,988,0,-30,19
71940,254,13,981,3,-19,18
71941,248,13,988,9,-4,17
71942,248,11,989,9,0,16
71943,253,9,992,7,-12,17
71944,248,11,994,0,-29,19
71945,252,11,983,-1,-39,19
71946,251,12,981,0,-34,18
71947,253,6,982,4,-21,18
71948,251,8,988,8,-5,16
71949,251,7,991,10,0,16
71950,253,3,992,9,-6,16
71951,251,6,990,4,-21,18
71952,257,8,988,0,-33,19
71953,251,3,982,1,-32,18
71954,252,4,985,2,-25,18
71955,252,9,987,4,-16,18
71956,247,4,991,6,-12,17
71957,247,12,996,3,-17,17
71958,251,7,990,0,-31,18
71959,255,8,988,-2,-38,19
71960,255,6,983,1,-30,19
71961,254,7,980,8,-8,16
71962,252,10,993,12,5,16
71963,255,11,992,10,0,17
71964,247,12,996,4,-22,18
71965,252,9,984,-2,-39,19
71966,250,7,985,-1,-41,20
71967,249,4,983,2,-30,18
71968,253,7,984,7,-13,18
71969,248,9,987,12,0,18
71970,249,4,996,11,2,16
71971,251,13,1001,5,-16,18
71972,255,9,991,-3,-46,20
71973,253,4,983,-7,-55,19
71974,249,10,972,-1,-34,19
71975,255,5,974,10,0,16
71976,249,4,987,18,21,15
71977,244,16,1006,15,13,16
71978,249,5,999,4,-18,18
71979,248,10,989,-2,-39,19
71980,246,2,985,-1,-41,20
71981,249,10,982,1,-32,21
71982,252,12,978,3,-21,18
71983,250,3,987,7,-11,17
71984,247,8,989,9,-6,17
71985,252,9,1002,6,-12,18
71986,245,5,991,3,-23,20
71987,255,7,979,3,-25,18
71988,254,6,981,5,-18,17
71989,256,2,989,6,-16,17
71990,249,6,985,9,-7,16
71991,248,10,995,10,-2,16
71992,250,16,998,7,-12,16
71993,254,11,987,1,-26,16
71994,249,12,990,0,-31,18
71995,255,10,987,2,-30,20
71996,255,13,989,4,-23,18
71997,256,4,987,6,-17,18
71998,255,9,994,6,-17,18
71999,245,12,995,4,-22,18
72000,247,4,991,4,-23,18
72001,250,7,986,4,-21,18
72002,252,13,990,5,-14,17
72003,250,3,997,8,-9,17
72004,255,11,993,7,-16,17
72005,253,9,991,4,-22,20
72006,247,9,990,2,-27,18
72007,255,13,985,1,-28,19
72008,254,4,982,3,-23,19
72009,251,7,979,9,-7,18
72010,245,6,992,11,2,16
72011,246,8,997,7,-12,17
72012,242,5,991,0,-33,18
72013,251,10,993,-4,-48,20
72014,254,11,977,-7,-56,21
72015,257,10,971,0,-36,19
72016,253,14,975,13,3,16
72017,248,10,991,18,21,15
72018,242,14,996,11,3,17
72019,247,10,989,1,-29,20
72020,250,8,984,-2,-44,21
72021,262,12,983,0,-32,18
72022,248,10,984,8,-8,16
72023,252,10,986,11,0,16
72024,249,6,996,5,-14,17
72025,251,9,983,0,-28,19
72026,253,4,975,0,-29,19
72027,256,6,985,5,-16,18
72028,253,8,986,8,-7,16
72029,249,7,988,9,-5,17
72030,249,8,988,7,-8,17
72031,246,11,991,7,-13,17
72032,246,9,992,6,-17,17
72033,254,10,992,4,-21,18
72034,250,9,988,3,-24,19
72035,253,11,985,4,-22,18
72036,250,9,988,6,-15,17
72037,252,6,987,5,-16,17
72038,252,11,997,2,-24,18
72039,263,11,983,2,-35,18
72040,257,7,975,9,-6,17
72041,246,10,995,18,23,16
72042,245,14,1000,10,0,16
72043,256,5,983,-2,-39,20
72044,250,12,970,1,-31,18
72045,251,7,981,14,9,16
72046,249,6,992,19,27,14
72047,241,5,1005,13,4,15
72048,249,12,993,0,-36,19
72049,248,9,990,-9,-61,22
72050,258,5,977,-7,-59,21
72051,255,4,982,1,-30,20
72052,255,1,982,11,0,16
72053,246,13,989,14,9,15
72054,247,9,993,8,-7,17
72055,245,11,990,0,-30,21
72056,255,5,989,0,-38,21
72057,254,8,976,4,-25,18
72058,254,8,988,11,0,15
72059,244,13,995,12,4,15
72060,250,9,990,7,-14,17
72061,252,11,985,1,-33,21
72062,250,5,980,1,-35,20
72063,258,6,982,3,-23,19
72064,248,11,986,7,-12,19
72065,247,8,995,7,-13,18
72066,251,8,984,4,-20,17
72067,249,4,987,3,-24,18
72068,250,12,985,4,-21,18
72069,251,5,989,7,-16,16
72070,246,8,993,6,-16,17
72071,248,12,984,3,-24,18
72072,251,6,988,2,-32,20
72073,247,14,983,2,-26,18
72074,253,8,985,7,-14,17
72075,251,10,984,9,-8,18
72076,256,8,989,7,-12,17
72077,247,10,991,4,-23,18
72078,251,6,985,1,-28,18
72079,254,9,985,3,-24,20
72080,256,6,991,4,-14,18
72081,251,7,992,7,-8,17
72082,249,3,996,6,-13,17
72083,247,9,991,3,-21,19
72084,257,5,985,4,-25,18
72085,249,5,986,4,-22,18
72086,244,8,989,4,-17,17
72087,245,14,992,4,-15,17
72088,245,7,987,4,-20,18
72089,250,9,986,2,-27,18
72090,253,8,980,3,-24,18
72091,247,7,981,7,-16,18
72092,246,9,993,9,-8,18
72093,254,12,996,9,-9,16
72094,246,15,996,4,-18,18
72095,251,3,993,0,-30,18
72096,247,12,983,0,-31,18
72097,251,11,985,7,-16,18
72098,249,15,986,9,-4,17
72099,254,12,999,7,-11,19
72100,248,12,995,0,-32,20
72101,259,4,986,-4,-51,20
72102,253,7,969,1,-31,18
72103,249,9,980,14,8,16
72104,250,9,1001,19,21,16
72105,248,9,1000,12,-1,18
72106,249,8,991,1,-30,19
72107,246,7,984,-3,-45,20
72108,251,6,982,-2,-44,19
72109,250,5,974,3,-23,18
72110,249,5,988,11,2,16
72111,254,13,990,14,11,16
72112,251,7,995,12,4,17
72113,251,14,991,6,-14,18
72114,249,14,986,0,-32,19
72115,246,12,987,0,-34,18
72116,251,9,984,2,-28,18
72117,256,13,982,4,-18,17
72118,248,18,985,7,-11,17
72119,246,15,991,6,-15,18
72120,252,6,986,4,-21,18
72121,249,10,988,4,-19,17
72122,251,8,989,5,-16,17
72123,251,13,992,6,-15,18
72124,250,9,994,3,-21,18
72125,249,10,993,1,-30,18
72126,253,12,986,0,-32,20
72127,253,12,980,3,-23,18
72128,251,7,983,7,-10,18
72129,248,9,984,11,2,16
72130,247,13,991,12,4,16
72131,249,10,994,7,-10,17
72132,253,11,996,1,-30,18
72133,247,6,990,-4,-51,21
72134,253,12,981,-4,-48,21
72135,251,7,980,1,-31,18
72136,253,8,984,9,-5,17
72137,247,7,996,14,7,16
72138,248,11,1003,8,-7,16
72139,245,7,1000,-2,-39,19
72140,257,10,981,-9,-63,21
72141,251,3,984,-6,-54,21
72142,256,12,968,3,-23,18
72143,251,10,983,15,10,16
72144,252,6,990,20,25,14
72145,249,12,998,15,14,15
72146,247,9,996,4,-18,18
72147,250,4,986,-4,-47,21
72148,248,7,980,-7,-55,21
72149,260,6,976,1,-31,18
72150,247,2,979,11,2,16
72151,253,11,992,18,23,15
72152,256,9,998,16,16,14
72153,252,9,998,7,-14,16
72154,250,13,993,-2,-43,21
72155,251,7,986,-6,-51,21
72156,250,13,977,-2,-41,19
72157,248,12,984,4,-21,17
72158,252,11,986,9,-7,16
72159,256,11,988,11,-3,17
72160,249,12,985,9,-7,16
72161,246,5,990,7,-11,17
72162,247,18,994,4,-20,18
72163,250,6,989,2,-27,20
72164,251,6,988,4,-21,18
72165,249,10,989,4,-19,18
72166,247,6,998,2,-27,19
72167,246,3,987,0,-36,19
72168,259,7,985,0,-32,20
72169,250,12,979,6,-12,18
72170,254,13,986,13,7,16
72171,248,8,991,14,11,15
72172,247,14,1000,9,-2,16
72173,246,10,995,3,-28,18
72174,245,5,987,-4,-47,21
72175,249,11,981,-5,-48,21
72176,251,5,982,1,-30,19
72177,244,10,985,7,-11,18
72178,249,9,993,9,-7,17
72179,245,8,988,7,-8,16
72180,247,8,983,7,-11,17
72181,253,15,985,7,-10,17
72182,254,6,993,8,-7,18
72183,252,4,993,8,-9,17
72184,247,11,1000,5,-16,17
72185,252,11,987,0,-28,20
72186,252,9,988,0,-31,19
72187,248,9,987,1,-30,19
72188,249,6,985,3,-24,18
72189,251,3,986,5,-17,17
72190,250,3,986,7,-8,18
72191,246,11,991,9,-3,18
72192,250,10,989,7,-9,18
72193,251,6,990,4,-21,17
72194,247,5,986,2,-28,18
72195,249,7,981,2,-28,20
72196,250,7,988,4,-21,18
72197,248,9,983,7,-14,17
72198,255,13,983,7,-11,18
72199,244,8,990,7,-14,18
72200,251,8,991,3,-21,18
72201,255,9,995,2,-26,20
72202,249,4,983,3,-24,18
72203,252,7,984,4,-20,19
72204,251,12,985,4,-18,18
72205,249,7,988,4,-16,18
72206,248,12,999,4,-18,18
72207,251,11,985,2,-24,18
72208,245,7,982,2,-25,18
72209,254,13,991,2,-21,17
72210,248,5,989,4,-17,16
72211,251,6,986,10,-2,16
72212,252,8,989,14,8,15
72213,246,12,995,10,0,16
72214,245,11,997,4,-20,18
72215,253,6,990,0,-33,18
72216,249,12,980,1,-29,18
72217,255,8,986,4,-17,18
72218,246,12,986,7,-10,16
72219,247,15,991,6,-14,17
72220,250,9,997,4,-24,18
72221,249,13,982,0,-31,19
72222,256,8,992,1,-28,19
72223,249,9,984,4,-20,19
72224,246,10,989,7,-11,16
72225,251,10,987,8,-6,17
72226,251,14,988,7,-11,18
72227,250,6,985,5,-19,18
72228,250,10,993,3,-24,18
72229,246,9,990,2,-24,18
72230,251,8,991,4,-21,18
72231,248,14,983,4,-16,18
72232,256,7,989,7,-14,18
72233,248,11,989,7,-14,17
72234,250,7,990,5,-17,18
72235,248,12,989,3,-21,18
72236,249,5,986,2,-23,18
72237,251,9,986,2,-21,18
72238,252,4,985,6,-16,18
72239,251,5,987,7,-13,17
72240,246,11,996,6,-15,16
72241,248,10,989,3,-23,18
72242,247,11,990,2,-26,18
72243,251,12,984,2,-24,18
72244,248,7,990,6,-17,17
72245,255,11,985,7,-12,18
72246,243,11,989,8,-11,18
72247,246,10,993,6,-16,17
72248,252,7,984,4,-21,18
72249,242,11,990,4,-23,18
72250,250,11,984,4,-21,18
72251,255,9,990,5,-17,18
72252,248,8,992,6,-14,17
72253,249,13,990,5,-18,17
72254,248,10,983,4,-21,19
72255,250,11,984,4,-23,18
72256,258,0,988,4,-23,20
72257,252,6,992,6,-16,18
72258,252,9,991,7,-11,18
72259,254,8,991,7,-11,18
72260,248,5,992,5,-17,18
72261,250,8,990,4,-21,20
72262,248,4,988,4,-21,18
72263,249,10,991,5,-18,18
72264,254,9,990,6,-16,18
72265,250,15,988,7,-14,18
72266,254,6,987,7,-14,19
72267,247,15,986,6,-15,18
72268,247,9,994,6,-14,17
72269,248,9,992,5,-16,19
72270,246,12,990,3,-23,18
72271,249,8,983,2,-27,18
72272,252,12,986,3,-23,18
72273,246,12,989,5,-16,19
72274,248,19,990,7,-11,17
72275,248,9,993,6,-13,17
72276,254,3,997,4,-21,18
72277,246,8,985,2,-26,20
72278,250,4,987,1,-26,20
72279,244,7,990,4,-22,18
72280,253,10,981,6,-16,18
72281,246,10,989,7,-14,19
72282,248,14,988,4,-18,18
72283,249,12,987,2,-25,18
72284,256,7,984,2,-25,18
72285,251,8,984,4,-22,19
72286,255,7,991,5,-16,18
72287,251,11,989,7,-14,18
72288,251,7,979,5,-16,18
72289,251,7,988,2,-23,18
72290,248,8,993,2,-25,18
72291,252,9,984,4,-23,18
72292,249,11,987,6,-15,18
72293,246,12,986,6,-11,19
72294,248,13,987,5,-16,18
72295,250,8,992,4,-19,18
72296,250,5,985,2,-27,19
72297,250,11,988,2,-27,19
72298,247,5,985,4,-17,18
72299,246,5,983,7,-11,18
72300,250,10,989,7,-14,18
72301,251,5,989,4,-22,18
72302,253,3,986,2,-25,18
72303,256,8,990,3,-21,18
72304,253,7,981,7,-11,18
72305,253,7,989,9,-8,17
72306,251,13,990,4,-15,18
72307,246,12,985,3,-23,19
72308,246,9,987,3,-23,18
72309,252,9,983,5,-18,18
72310,246,10,988,6,-16,18
72311,250,13,989,5,-16,18
72312,252,8,992,6,-15,18
72313,252,10,982,6,-16,17
72314,246,11,992,7,-14,16
72315,245,7,994,7,-15,18
72316,250,4,986,5,-18,18
72317,248,10,987,4,-22,19
72318,247,6,989,4,-21,18
72319,250,2,988,5,-18,18
72320,251,8,990,7,-14,18
72321,249,12,989,7,-14,17
72322,245,8,991,5,-18,18
72323,249,3,989,4,-24,17
72324,249,7,989,4,-21,17
72325,249,9,989,6,-16,18
72326,247,17,993,7,-14,18
72327,252,14,991,4,-18,18
72328,250,12,986,2,-26,18
72329,258,8,982,2,-27,19
72330,247,15,990,3,-23,19
72331,254,13,986,5,-18,19
72332,249,6,987,4,-16,18
72333,250,11,987,5,-18,17
72334,248,5,986,4,-18,18
72335,245,9,992,4,-20,18
72336,253,8,986,4,-18,18
72337,251,11,990,5,-18,18
72338,246,10,989,4,-21,19
72339,245,13,996,2,-28,19
72340,251,8,988,-2,-39,21
72341,253,11,980,-2,-39,20
72342,258,5,981,5,-14,16
72343,249,8,989,14,9,16
72344,243,8,1003,11,2,16
72345,251,7,993,2,-23,18
72346,254,1,983,0,-35,20
72347,252,12,984,0,-30,19
72348,255,12,984,5,-14,17
72349,252,10,991,10,-1,16
72350,247,6,996,9,-4,17
72351,248,7,988,4,-18,18
72352,249,9,989,1,-30,19
72353,253,3,987,0,-35,18
72354,251,6,983,2,-27,18
72355,245,14,977,5,-16,17
72356,255,11,983,7,-10,16
72357,253,9,990,7,-14,18
72358,253,14,987,4,-21,18
72359,251,11,983,6,-18,18
72360,252,11,993,7,-15,19
72361,246,17,995,5,-21,19
72362,240,9,991,2,-29,20
72363,250,11,986,2,-28,19
72364,251,7,992,4,-23,18
72365,245,12,990,4,-22,19
72366,256,9,986,2,-26,20
72367,252,10,976,4,-21,18
72368,252,4,988,14,2,16
72369,253,15,1005,19,22,15
72370,241,6,1003,11,0,16
72371,249,8,1001,-2,-44,19
72372,248,0,980,-8,-62,21
72373,253,0,977,-3,-49,19
72374,252,0,975,5,-19,17
72375,257,12,986,15,7,16
72376,246,8,998,14,5,16
72377,255,5,1006,2,-28,18
72378,250,10,987,-9,-63,21
72379,256,7,968,-9,-66,21
72380,251,3,964,2,-30,20
72381,252,10,979,18,16,16
72382,248,11,1000,23,38,13
72383,257,14,1008,16,15,15
72384,249,14,998,3,-26,18
72385,251,5,990,-8,-61,21
72386,256,11,969,-9,-58,20
72387,254,9,972,4,-16,18
72388,253,12,987,21,31,15
72389,247,10,1006,23,35,14
72390,250,9,996,10,1,16
72391,253,13,998,0,-32,19
72392,248,6,988,-5,-52,21
72393,248,5,979,-2,-45,19
72394,253,8,977,4,-20,17
72395,251,12,985,11,0,16
72396,249,12,998,9,-2,16
72397,249,11,999,0,-32,19
72398,251,14,986,-9,-64,22
72399,250,6,980,-10,-67,21
# samples=745
# gaps=0
