# falldetect-gkl fd_studio v1
# label=walking
# mount=neck
# subject=s01
# started=2026-09-20T19:01:14
# units=accel milli-g, gyro deci-dps
# firmware=unknown
# notes=
seq,ax,ay,az,gx,gy,gz
786962,-401,-4,919,-14,37,11
786963,-408,-4,915,-7,30,18
786964,-405,6,917,-10,-7,14
786965,-398,-10,918,-7,-42,9
786966,-396,-3,917,-5,-43,11
786967,-399,3,925,-7,-40,10
786968,-398,-8,933,-7,-26,7
786969,-402,-6,931,-10,-10,7
786970,-399,-4,924,-11,-6,10
786971,-404,0,926,-8,-16,11
786972,-399,-1,931,-9,-17,9
786973,-397,-4,934,-10,-9,7
786974,-406,-9,923,-14,-4,7
786975,-401,-5,926,-11,-15,7
786976,-399,-4,924,-7,-27,13
786977,-392,-5,927,-2,-30,15
786978,-400,-1,926,-4,-23,13
786979,-405,-11,933,-6,-9,12
786980,-405,0,928,-11,0,9
786981,-399,-6,930,-11,-4,10
786982,-405,-2,914,-10,-17,10
786983,-398,-6,914,-14,-27,11
786984,-399,-7,923,-3,-32,10
786985,-398,0,937,-2,-22,13
786986,-402,0,925,-9,-18,11
786987,-403,-7,930,-22,-20,3
786988,-395,-5,927,-25,-14,0
786989,-397,-8,917,-23,-14,0
786990,-405,-8,923,-15,-28,4
786991,-406,-3,925,-14,-43,7
786992,-398,-10,932,-16,-49,7
786993,-397,-10,932,-13,-40,9
786994,-403,-6,930,-11,-28,9
786995,-403,-9,923,-9,-24,11
786996,-398,-6,924,-6,-25,12
786997,-393,-9,923,-5,-22,14
786998,-396,-4,931,-5,-26,12
786999,-402,-7,926,-13,-32,10
787000,-400,-6,929,-18,-34,5
787001,-405,-8,926,-24,-30,2
787002,-401,-2,930,-30,-24,0
787003,-402,-5,923,-47,-29,-4
787004,-395,-14,916,-37,-45,-7
787005,-401,-19,924,-28,-39,0
787006,-404,-8,933,-11,-30,7
787007,-405,-5,947,-13,-25,8
787008,-399,-13,923,-21,-24,7
787009,-395,-15,926,-13,-21,9
787010,-396,-12,924,-2,-14,16
787011,-405,-10,925,-2,-22,16
787012,-398,-9,927,-9,-37,10
787013,-397,-18,920,-13,-44,8
787014,-400,-17,925,-14,-38,8
787015,-413,-19,919,-5,-34,14
787016,-393,-2,932,0,-35,14
787017,-399,-12,932,-5,-43,11
787018,-390,-24,926,-4,-34,12
787019,-402,-8,936,4,-23,22
787020,-406,-3,935,4,-21,23
787021,-392,-12,926,3,-21,20
787022,-391,-17,923,9,-10,23
787023,-400,-12,923,16,-10,28
787024,-402,-9,930,19,-20,28
787025,-397,-10,932,17,-24,28
787026,-390,-17,932,14,-20,25
787027,-392,-16,935,17,-6,25
787028,-399,-10,926,22,4,29
787029,-404,-7,929,25,0,31
787030,-400,-10,926,16,-13,30
787031,-394,-14,922,12,-17,25
787032,-392,-6,926,7,-11,21
787033,-399,-11,925,-4,-7,17
787034,-395,-6,930,-11,-14,10
787035,-395,-12,926,-11,-23,9
787036,-397,-12,921,-19,-19,8
787037,-400,-7,929,-28,-22,4
787038,-397,-12,932,-18,-21,4
787039,-401,-13,930,-9,-5,13
787040,-395,-11,929,-16,-5,9
787041,-398,-12,929,-12,-10,11
787042,-394,-16,921,-4,-5,18
787043,-399,-9,924,0,-2,23
787044,-408,0,924,-14,-13,16
787045,-391,-13,912,-35,-34,-2
787046,-387,-33,925,-22,-30,-3
787047,-393,-19,934,-3,-3,15
787048,-414,-5,954,4,0,23
787049,-400,-17,932,-14,-4,17
787050,-388,-17,920,-14,-4,16
787051,-394,-20,915,-5,5,28
787052,-402,-7,924,2,-1,28
787053,-396,-11,918,-11,-23,16
787054,-403,-15,918,-20,-30,11
787055,-397,-12,929,-20,-27,13
787056,-408,-15,938,-16,-19,16
787057,-403,-20,938,-16,0,21
787058,-409,-12,943,-14,25,26
787059,-402,-9,932,-39,60,39
787060,-398,-15,921,-18,55,34
787061,-398,-21,914,-9,27,23
787062,-397,-20,907,-1,23,39
787063,-417,-9,916,13,-8,37
787064,-403,-5,920,-6,-36,26
787065,-396,-17,925,-8,-49,21
787066,-395,-22,935,3,-44,18
787067,-401,-19,931,5,-16,23
787068,-410,-7,938,-2,4,23
787069,-401,-13,928,-5,10,25
787070,-402,-12,930,-3,0,23
787071,-397,-14,926,0,2,32
787072,-402,-13,921,4,3,34
787073,-405,-9,928,2,-1,30
787074,-394,-5,922,-18,-6,23
787075,-389,-18,916,-9,-7,24
787076,-409,-22,931,0,-11,25
787077,-394,-18,921,9,-10,29
787078,-405,-14,927,14,-16,27
787079,-399,-13,924,14,-15,30
787080,-393,-19,922,25,-17,31
787081,-406,-19,931,32,-10,38
787082,-405,-11,931,32,-5,39
787083,-407,-15,932,28,-9,33
787084,-395,-17,921,33,0,35
787085,-406,-20,926,49,9,44
787086,-408,-13,935,45,12,47
787087,-408,-13,924,35,4,46
787088,-409,-6,917,27,-17,42
787089,-409,-10,915,22,-38,38
787090,-399,-13,919,18,-53,34
787091,-402,-5,924,11,-57,30
787092,-394,-8,925,-1,-51,21
787093,-394,-17,931,-5,-35,14
787094,-401,-16,925,3,-16,17
787095,-409,-11,923,19,-4,27
787096,-403,-12,925,30,-8,33
787097,-406,-14,923,39,-23,38
787098,-400,-11,923,42,-41,40
787099,-387,-10,921,51,-46,42
787100,-401,-15,921,56,-37,50
787101,-405,-3,923,57,-29,50
787102,-400,-10,924,60,-21,51
787103,-403,-8,922,59,-25,49
787104,-402,-6,923,58,-30,46
787105,-394,-12,921,64,-35,48
787106,-403,-8,932,72,-32,56
787107,-403,-1,927,68,-33,57
787108,-407,-5,928,67,-45,56
787109,-402,0,928,54,-55,46
787110,-398,-12,919,53,-46,44
787111,-399,-5,932,57,-23,46
787112,-405,-1,928,56,-7,46
787113,-406,0,927,53,-7,46
787114,-401,-6,922,46,-18,43
787115,-396,-2,914,47,-32,42
787116,-403,-2,921,53,-41,44
787117,-403,3,928,54,-43,44
787118,-403,0,930,51,-45,39
787119,-399,-3,933,49,-39,37
787120,-404,-2,938,46,-30,37
787121,-404,-2,930,49,-25,44
787122,-399,0,925,59,-31,49
787123,-404,5,928,58,-42,54
787124,-396,3,931,52,-56,48
787125,-396,11,933,36,-55,33
787126,-394,-7,926,23,-25,40
787127,-401,1,929,45,-16,51
787128,-415,22,946,35,-17,41
787129,-388,2,920,-1,-23,18
787130,-386,-4,915,-2,-24,9
787131,-398,2,926,3,-19,19
787132,-406,9,944,7,-41,13
787133,-395,-2,935,-5,-49,5
787134,-397,-4,939,-2,-35,12
787135,-395,6,934,-9,-8,14
787136,-397,7,923,-18,10,4
787137,-393,-4,920,-22,17,0
787138,-397,3,919,-15,7,0
787139,-404,4,927,-4,-16,10
787140,-404,-1,933,4,-41,14
787141,-397,-4,934,13,-46,19
787142,-399,3,941,9,-28,21
787143,-394,1,935,7,0,17
787144,-400,3,934,-2,18,13
787145,-389,11,935,1,21,10
787146,-407,-10,921,9,7,23
787147,-411,6,917,4,-14,28
787148,-398,3,919,-9,-39,11
787149,-396,0,916,-14,-44,2
787150,-398,-1,932,-14,-31,4
787151,-397,5,938,-12,-21,5
787152,-400,0,935,-7,-16,9
787153,-393,-1,927,-4,-9,11
787154,-406,-3,925,-4,2,16
787155,-406,4,926,0,7,20
787156,-402,0,918,-2,-2,16
787157,-396,0,915,5,-9,16
787158,-396,0,924,11,-19,19
787159,-401,1,928,14,-35,20
787160,-400,0,936,15,-37,23
787161,-393,1,931,18,-20,23
787162,-398,-1,937,19,4,22
787163,-404,-3,930,20,18,27
787164,-405,-1,928,23,14,29
787165,-405,-2,918,26,2,30
787166,-397,6,928,21,-6,28
787167,-404,4,929,19,-7,23
787168,-405,0,923,14,-14,20
787169,-404,0,921,9,-21,21
787170,-404,5,922,9,-36,18
787171,-400,2,924,9,-43,17
787172,-400,8,933,8,-38,16
787173,-410,8,925,0,-31,16
787174,-404,5,930,-3,-22,12
787175,-404,0,933,-2,-10,12
787176,-403,3,921,4,-5,18
787177,-403,6,923,4,-11,20
787178,-399,8,934,9,-19,18
787179,-402,7,928,-1,-21,14
787180,-399,4,930,2,-18,14
787181,-403,-3,937,4,-7,16
787182,-404,6,932,10,4,18
787183,-403,2,923,11,12,23
787184,-404,-1,920,21,6,30
787185,-402,2,916,33,-12,35
787186,-401,7,906,25,-22,34
787187,-393,10,921,24,-34,28
787188,-389,0,926,18,-38,20
787189,-397,4,926,16,-30,18
787190,-405,3,930,23,-26,26
787191,-403,7,929,24,-30,28
787192,-396,5,937,17,-22,29
787193,-396,8,934,6,0,23
787194,-395,1,922,0,13,16
787195,-409,0,919,1,7,19
787196,-396,3,919,6,-19,18
787197,-401,-1,925,4,-44,17
787198,-403,3,930,3,-51,16
787199,-397,5,935,-1,-56,12
787200,-396,6,935,-9,-49,8
787201,-401,3,936,-14,-27,4
787202,-406,0,935,-22,-1,3
787203,-397,-4,929,-9,14,12
787204,-409,0,914,10,20,29
787205,-406,6,910,16,7,33
787206,-408,6,915,0,-19,24
787207,-388,4,903,-4,-52,10
787208,-405,0,918,3,-64,11
787209,-407,8,937,2,-60,11
787210,-401,-3,945,-4,-37,10
787211,-400,-9,936,-3,0,14
787212,-400,0,926,9,27,25
787213,-399,1,911,16,25,35
787214,-399,5,907,22,-12,32
787215,-398,17,914,16,-56,25
787216,-404,3,928,16,-81,18
787217,-401,4,935,8,-64,18
787218,-394,-1,945,2,-28,15
787219,-397,6,939,-10,4,10
787220,-400,4,928,-9,20,11
787221,-404,2,912,-13,13,11
787222,-405,-3,908,-9,-11,11
787223,-394,7,926,-6,-33,9
787224,-399,6,936,-13,-41,4
787225,-407,8,931,-19,-41,0
787226,-396,3,935,-22,-34,0
787227,-400,-6,931,-17,-22,7
787228,-406,3,930,-9,-4,17
787229,-403,4,932,-9,9,16
787230,-401,0,920,-11,11,13
787231,-398,0,914,-6,-1,14
787232,-400,1,921,1,-19,18
787233,-400,13,930,3,-30,18
787234,-398,13,933,-7,-30,11
787235,-400,0,928,-15,-25,4
787236,-399,-10,927,-9,-21,5
787237,-400,-1,928,-1,-12,17
787238,-402,7,934,2,-7,20
787239,-403,3,920,-4,-14,16
787240,-395,-4,926,-3,-21,13
787241,-397,0,920,1,-21,18
787242,-401,4,919,8,-23,22
787243,-397,5,926,7,-27,19
787244,-386,7,934,7,-30,11
787245,-393,-6,932,4,-25,12
787246,-406,3,926,5,-22,17
787247,-395,-1,924,7,-23,19
787248,-400,-4,932,14,-17,24
787249,-396,0,924,21,-7,28
787250,-400,-3,921,24,0,31
787251,-405,1,920,26,-8,33
787252,-398,0,920,27,-30,32
787253,-404,3,934,24,-45,29
787254,-398,0,935,22,-35,28
787255,-398,8,938,16,-15,26
787256,-402,-1,929,15,0,28
787257,-403,6,927,12,-2,28
787258,-402,1,916,16,-18,25
787259,-396,-1,925,21,-32,29
787260,-403,3,929,22,-35,28
787261,-405,7,941,19,-35,25
787262,-395,0,922,21,-34,27
787263,-393,2,930,29,-27,32
787264,-399,9,926,29,-21,35
787265,-402,5,928,19,-22,28
787266,-395,-4,919,14,-28,21
787267,-396,-2,923,22,-28,25
787268,-404,2,933,27,-22,32
787269,-404,12,928,21,-29,29
787270,-398,1,931,18,-34,25
787271,-393,-3,922,16,-32,25
787272,-406,30,939,-16,-32,7
787273,-382,-16,931,-11,-27,-1
787274,-396,-5,910,-3,7,23
787275,-413,25,931,9,2,27
787276,-396,3,923,-2,-23,14
787277,-396,-3,917,-4,-38,9
787278,-394,-4,910,15,-36,23
787279,-403,8,935,26,-33,32
787280,-405,5,925,18,-44,28
787281,-396,1,927,25,-53,28
